family,n,seed,omega_red,omega_blue,alpha_red,alpha_blue,max_mono_clique_present,max_mono_independent_present,first_absent_mono_clique_size,first_absent_mono_independent_size,delay_score,force_index,red_density,spectral_radius,spectral_gap,adjacency_energy,signature_name,signature_value,signature_phi_distance
lucas_like_growth,20,0,6,6,6,6,6,6,7,7,3.3333333333333335,0.3,0.4789473684210526,9.197369540083198,5.4260441756124616,43.99626372243213,lucas_block_ratio,1.6363636363636365,0.018329647613741562
lucas_like_growth,20,1,7,4,4,7,7,7,8,8,2.857142857142857,0.35,0.5052631578947369,9.736485210756387,4.778621003221425,45.099285017358945,lucas_block_ratio,1.6363636363636365,0.018329647613741562
lucas_like_growth,20,2,6,5,5,6,6,6,7,7,3.3333333333333335,0.3,0.5052631578947369,9.76593130765766,5.98841059103644,43.901403218994886,lucas_block_ratio,1.6363636363636365,0.018329647613741562
lucas_like_growth,20,3,6,5,5,6,6,6,7,7,3.3333333333333335,0.3,0.5210526315789473,9.977758404518024,5.378803000315067,45.67640687183244,lucas_block_ratio,1.6363636363636365,0.018329647613741562
lucas_like_growth,22,0,6,6,6,6,6,6,7,7,3.6666666666666665,0.2727272727272727,0.49783549783549785,10.597992518253891,6.529968366135173,51.23438963073159,lucas_block_ratio,1.6363636363636365,0.018329647613741562
lucas_like_growth,22,1,7,5,5,7,7,7,8,8,3.142857142857143,0.3181818181818182,0.5064935064935064,10.803008402048038,5.772464197754671,50.80406827224476,lucas_block_ratio,1.6363636363636365,0.018329647613741562
lucas_like_growth,22,2,6,5,5,6,6,6,7,7,3.6666666666666665,0.2727272727272727,0.5021645021645021,10.653003786068641,6.752897246963974,50.728303649834416,lucas_block_ratio,1.6363636363636365,0.018329647613741562
lucas_like_growth,22,3,7,5,5,7,7,7,8,8,3.142857142857143,0.3181818181818182,0.5194805194805194,10.99175954109781,6.039122611692463,51.52793446064737,lucas_block_ratio,1.6363636363636365,0.018329647613741562
lucas_like_growth,24,0,6,6,6,6,6,6,7,7,4.0,0.25,0.5,11.630558218792746,7.501510078973706,57.43278589216458,lucas_block_ratio,1.6363636363636365,0.018329647613741562
lucas_like_growth,24,1,8,5,5,8,8,8,9,9,3.0,0.3333333333333333,0.5072463768115942,11.818517657130485,5.884936172730542,56.594277961888935,lucas_block_ratio,1.6363636363636365,0.018329647613741562
lucas_like_growth,24,2,6,5,5,6,6,6,7,7,4.0,0.25,0.5,11.600373069813218,6.8277547881245795,57.180152842190964,lucas_block_ratio,1.6363636363636365,0.018329647613741562
lucas_like_growth,24,3,7,5,5,7,7,7,8,8,3.4285714285714284,0.2916666666666667,0.5108695652173914,11.855606015963868,6.507957877181582,57.119886100418626,lucas_block_ratio,1.6363636363636365,0.018329647613741562
balanced_binary_partitions,8,0,4,2,2,4,4,4,5,5,2.0,0.5,0.7142857142857143,5.0,3.999999999999999,14.000000000000002,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,8,1,2,4,4,2,4,4,5,5,2.0,0.5,0.2857142857142857,2.0,0.0,7.999999999999999,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,8,2,4,2,2,4,4,4,5,5,2.0,0.5,0.7142857142857143,5.0,3.999999999999999,14.000000000000002,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,8,3,2,4,4,2,4,4,5,5,2.0,0.5,0.2857142857142857,2.0,0.0,7.999999999999999,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,10,0,4,3,3,4,4,4,5,5,2.5,0.4,0.6888888888888889,6.22386109133656,5.046451410437275,17.123674056914776,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,10,1,3,4,4,3,4,4,5,5,2.5,0.4,0.3111111111111111,2.8557725066359887,0.0,12.709638723597136,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,10,2,4,3,3,4,4,4,5,5,2.5,0.4,0.6888888888888889,6.22386109133656,5.046451410437275,17.123674056914776,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,10,3,3,4,4,3,4,4,5,5,2.5,0.4,0.3111111111111111,2.8557725066359887,0.0,12.709638723597136,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,12,0,4,4,4,4,4,4,5,5,3.0,0.3333333333333333,0.6666666666666666,7.358898943540675,5.944685381167579,20.374652136573733,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,12,1,4,4,4,4,4,4,5,5,3.0,0.3333333333333333,0.3333333333333333,3.7320508075688763,0.0,17.656854249492373,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,12,2,4,4,4,4,4,4,5,5,3.0,0.3333333333333333,0.6666666666666666,7.358898943540675,5.944685381167579,20.374652136573733,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,12,3,4,4,4,4,4,4,5,5,3.0,0.3333333333333333,0.3333333333333333,3.7320508075688763,0.0,17.656854249492373,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,14,0,4,4,4,4,4,4,5,5,3.5,0.2857142857142857,0.6703296703296703,8.738061201377722,7.064363418775778,24.12255422101586,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,14,1,4,4,4,4,4,4,5,5,3.5,0.2857142857142857,0.32967032967032966,4.32803128949561,1.7763568394002505e-15,22.694791130407772,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,14,2,4,4,4,4,4,4,5,5,3.5,0.2857142857142857,0.6703296703296703,8.738061201377722,7.064363418775778,24.12255422101586,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,14,3,4,4,4,4,4,4,5,5,3.5,0.2857142857142857,0.32967032967032966,4.32803128949561,1.7763568394002505e-15,22.694791130407772,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,0,4,4,4,4,4,4,5,5,4.0,0.25,0.6666666666666666,10.0,7.999999999999999,28.0,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,1,4,4,4,4,4,4,5,5,4.0,0.25,0.3333333333333333,5.0,0.0,28.000000000000007,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,2,4,4,4,4,4,4,5,5,4.0,0.25,0.6666666666666666,10.0,7.999999999999999,28.0,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,3,4,4,4,4,4,4,5,5,4.0,0.25,0.3333333333333333,5.0,0.0,28.000000000000007,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,0,6,4,4,6,6,6,7,7,3.0,0.3333333333333333,0.673202614379085,11.470007931349505,9.063851156736298,33.85961847328109,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,1,4,6,6,4,6,6,7,7,3.0,0.3333333333333333,0.32679738562091504,5.586812149175038,0.0,31.02125937010728,binary_partition_ratio,1.0,0.6180339887498949
