case,variant,timestep,full_radial,subspace_radial,radial_ratio,direction_metric,direction_old,direction_new,h3_sin_disp,phase_delta_cos,phase_delta_sin,match_flag,success_flag,n_samples,notes
B,eps1.0_D20,9,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=9
A,eps1.0_D20,10,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=10
B,eps1.0_D20,10,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=10
A,eps1.0_D20,11,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=11
B,eps1.0_D20,11,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=11
A,eps1.0_D20,12,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=12
B,eps1.0_D20,12,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=12
A,eps1.0_D20,13,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=13
B,eps1.0_D20,13,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=13
A,eps1.0_D20,14,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=14
B,eps1.0_D20,14,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=14
A,eps1.0_D20,15,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=15
B,eps1.0_D20,15,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=15
A,eps1.0_D20,16,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=16
B,eps1.0_D20,16,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=16
A,eps1.0_D20,17,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=17
B,eps1.0_D20,17,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=17
A,eps1.0_D20,18,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=18
B,eps1.0_D20,18,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=18
A,eps1.0_D20,19,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=19
B,eps1.0_D20,19,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=19
A,eps1.0_D20,20,3.1622774600982666,1.0,0.3162277638912201,-6.608970437582684e-08,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,HYBRID;cos_with_raw_proto;eps=1.0;D=20;t=20
B,eps1.0_D20,20,3.1622774600982666,1.0,0.3162277638912201,1.0,-6.608970437582684e-08,1.0,2.616787924125674e-07,1.0,0.0,1.0,1.0,1024,MIGRATED;cos_with_2i_proto;eps=1.0;D=20;t=20
