checkpoint,position,attention_logit_mean,attention_weight_mean,attention_grad_norm,tau_state_norm,tau_state_variance,tau_x0_between_var,router_grad_norm,W_attn_grad_norm,v_attn_grad_norm,W_tok_inject_grad_norm,W1_grad_norm,W_pred_grad_norm,accuracy_normal,accuracy_uniform_attn,attn_logit_pos_var,attn_max_pos,loss,note
500,9,0.001231,0.041673,8.7e-07,1.437426,0.030894,0.00014508,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,10,0.001367,0.041679,9e-07,1.43915,0.029874,0.00013514,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,11,0.001185,0.041671,9.3e-07,1.438096,0.031337,0.00010491,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,12,0.001157,0.04167,8.6e-07,1.437566,0.030843,0.00015538,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,13,0.001486,0.041684,9.1e-07,1.439487,0.029503,0.00015416,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,14,0.001289,0.041675,8.8e-07,1.442862,0.031901,9.931e-05,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,15,0.001235,0.041673,8.7e-07,1.439785,0.030652,0.00012785,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,16,0.001277,0.041675,8.6e-07,1.432148,0.028677,0.00015807,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,17,0.001226,0.041673,9e-07,1.439923,0.031109,0.00015115,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,18,0.00132,0.041677,8.6e-07,1.440432,0.030717,0.00010433,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,19,0.001506,0.041685,9.3e-07,1.436608,0.028752,0.00018055,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,20,0.001173,0.041671,8.3e-07,1.440339,0.031071,0.00013878,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,21,0.001396,0.04168,8.8e-07,1.437517,0.030004,8.896e-05,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,22,0.001378,0.041679,8.9e-07,1.4419,0.029382,0.00012862,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
500,23,0.001125,0.041669,8.9e-07,1.439661,0.030753,0.00012919,0.000963,4.1e-05,6.7e-05,0.003688,0.000859,0.023358,0.2773,0.2773,9e-06,19,1.3854,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,0,-0.001297,0.041569,1.18e-06,1.492098,0.041797,0.00277756,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,1,0.000312,0.041636,1.02e-06,1.438253,0.035542,0.00012589,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,2,0.000506,0.041644,9.3e-07,1.442867,0.035406,8.328e-05,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,3,0.000699,0.041652,9.3e-07,1.435185,0.034123,0.00012747,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,4,0.001326,0.041678,8.7e-07,1.434705,0.030918,9.843e-05,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,5,0.000793,0.041656,8.7e-07,1.436802,0.032869,0.00014771,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,6,0.00098,0.041664,8.7e-07,1.435358,0.032488,0.00015862,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,7,0.001336,0.041679,9.5e-07,1.435402,0.030317,0.0001073,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,8,0.001006,0.041665,9e-07,1.440424,0.032536,0.00012111,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,9,0.001089,0.041668,8.8e-07,1.4353,0.031857,0.00010981,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,10,0.001491,0.041685,8.9e-07,1.43587,0.029736,0.00011713,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
1000,11,0.001267,0.041676,8.8e-07,1.43781,0.031656,9.237e-05,0.001771,4.4e-05,4.2e-05,0.003744,0.001565,0.048976,0.2451,0.2461,9e-06,22,1.3865,"D=24,D_H=32,B=256,budget=10000,B_diag=1024,canonical_v6_torch"
