tuplet_name,offsets,parent_W,child_W,visible_H_first,layer_depth,layer_primes,parent_class_b,parent_class_spin_code,parent_class_frequency,child_future_classes_produced,dominant_phi_tuple,dominant_phi_tuple_share,phi_tuple_support_size,boundary_any_fraction
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,7,16,3,2,(2),0.3333333333333333,3,0.6666666666666666
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,7,512,3,2,(6),0.3333333333333333,3,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,7,528,4,3,(9),0.25,4,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,8,32,3,2,(2),0.3333333333333333,3,0.6666666666666666
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,8,1024,3,2,(6),0.3333333333333333,3,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,8,1056,4,3,(9),0.25,4,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,9,64,3,2,(2),0.3333333333333333,3,0.6666666666666666
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,9,2048,3,2,(6),0.3333333333333333,3,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,9,2112,4,3,(9),0.25,4,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,10,128,3,2,(2),0.3333333333333333,3,0.6666666666666666
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,10,4096,3,2,(6),0.3333333333333333,3,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,10,4224,4,3,(9),0.25,4,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,11,256,3,2,(2),0.3333333333333333,3,0.6666666666666666
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,11,8192,3,2,(6),0.3333333333333333,3,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,11,8448,4,3,(9),0.25,4,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,12,512,3,2,(2),0.3333333333333333,3,0.6666666666666666
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,12,16384,3,2,(6),0.3333333333333333,3,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,12,16896,4,3,(9),0.25,4,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,13,1024,3,2,(2),0.3333333333333333,3,0.6666666666666666
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,13,32768,3,2,(6),0.3333333333333333,3,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,13,33792,4,3,(9),0.25,4,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,14,2048,3,2,(2),0.3333333333333333,3,0.6666666666666666
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,14,65536,3,2,(6),0.3333333333333333,3,0.0
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,14,67584,4,3,(9),0.25,4,0.5
double_twins_p17,"[0,2,34,36]",2310,30030,21,1,11,15,4096,3,2,(2),0.3333333333333333,3,0.6666666666666666
