case,relation,D,timestep,cos_metric,sin_metric,full_radial,subspace_radial,radial_ratio,success_flag,match_flag,eps_high,n_samples,notes
C,success,20,3,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=3
C,failure,20,3,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=3;no_samples
C,success,20,4,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=4
C,failure,20,4,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=4;no_samples
C,success,20,5,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=5
C,failure,20,5,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=5;no_samples
C,success,20,6,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=6
C,failure,20,6,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=6;no_samples
C,success,20,7,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=7
C,failure,20,7,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=7;no_samples
C,success,20,8,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=8
C,failure,20,8,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=8;no_samples
C,success,20,9,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=9
C,failure,20,9,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=9;no_samples
C,success,20,10,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=10
C,failure,20,10,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=10;no_samples
C,success,20,11,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=11
C,failure,20,11,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=11;no_samples
C,success,20,12,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=12
C,failure,20,12,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=12;no_samples
C,success,20,13,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=13
C,failure,20,13,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=13;no_samples
C,success,20,14,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=14
C,failure,20,14,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=14;no_samples
C,success,20,15,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=15
C,failure,20,15,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=15;no_samples
C,success,20,16,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=16
C,failure,20,16,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=16;no_samples
C,success,20,17,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=17
C,failure,20,17,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=17;no_samples
C,success,20,18,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=18
C,failure,20,18,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=18;no_samples
C,success,20,19,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=19
C,failure,20,19,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=19;no_samples
C,success,20,20,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,1,NA,1.0,1024,C;success;eps=1.0;D=20;t=20
C,failure,20,20,nan,nan,nan,nan,nan,0,NA,1.0,0,C;failure;eps=1.0;D=20;t=20;no_samples
D,matched,20,0,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=0
D,matched,20,1,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=1
D,matched,20,2,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=2
D,matched,20,3,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=3
D,matched,20,4,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=4
D,matched,20,5,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=5
D,matched,20,6,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=6
D,matched,20,7,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=7
D,matched,20,8,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=8
D,matched,20,9,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=9
D,matched,20,10,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=10
D,matched,20,11,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=11
D,matched,20,12,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=12
D,matched,20,13,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=13
D,matched,20,14,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=14
D,matched,20,15,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=15
D,matched,20,16,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=16
D,matched,20,17,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=17
D,matched,20,18,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=18
D,matched,20,19,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=19
D,matched,20,20,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,1.0,1024,D;matched;eps=1.0;D=20;t=20
A,matched,20,0,1.0,-6.608970437582684e-08,3.1622774600982666,1.0,0.3162277638912201,NA,1,0.0,1024,AB;dist=0;eps=0.0;D=20;t=0
B,adj_plus1,20,0,6.212366798763469e-08,1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,0.0,1024,AB;dist=1;eps=0.0;D=20;t=0
B,opposite,20,0,-1.0,5.958570170605526e-08,3.1622774600982666,1.0,0.3162277638912201,NA,0,0.0,1024,AB;dist=2;eps=0.0;D=20;t=0
B,adj_minus1,20,0,-6.603506363944689e-08,-1.0,3.1622774600982666,1.0,0.3162277638912201,NA,0,0.0,1024,AB;dist=3;eps=0.0;D=20;t=0
