model,task,metric_name,metric_value,operator,usage_fraction,context_bucket,transport_usage_fraction,route_entropy,note
learned_router,first_token_recall_D8,accuracy,0.26,T_c,1.0,D=8_all_steps,1.0,1.6675,cluster=transport
learned_router,first_token_recall_D8,accuracy,0.26,T_z',0.0,D=8_all_steps,1.0,1.6675,cluster=transport
learned_router,first_token_recall_D8,accuracy,0.26,T_r*,0.0,D=8_all_steps,1.0,1.6675,cluster=transport
learned_router,first_token_recall_D8,transport_frac_at_step,1.0,aggregate_transport,1.0,step=0_dist=8,1.0,1.6675,step=0; distance_from_query=8
learned_router,first_token_recall_D8,transport_frac_at_step,1.0,aggregate_transport,1.0,step=1_dist=7,1.0,1.6675,step=1; distance_from_query=7
learned_router,first_token_recall_D8,transport_frac_at_step,1.0,aggregate_transport,1.0,step=2_dist=6,1.0,1.6675,step=2; distance_from_query=6
learned_router,first_token_recall_D8,transport_frac_at_step,1.0,aggregate_transport,1.0,step=3_dist=5,1.0,1.6675,step=3; distance_from_query=5
learned_router,first_token_recall_D8,transport_frac_at_step,1.0,aggregate_transport,1.0,step=4_dist=4,1.0,1.6675,step=4; distance_from_query=4
learned_router,first_token_recall_D8,transport_frac_at_step,1.0,aggregate_transport,1.0,step=5_dist=3,1.0,1.6675,step=5; distance_from_query=3
learned_router,first_token_recall_D8,transport_frac_at_step,1.0,aggregate_transport,1.0,step=6_dist=2,1.0,1.6675,step=6; distance_from_query=2
learned_router,first_token_recall_D8,transport_frac_at_step,1.0,aggregate_transport,1.0,step=7_dist=1,1.0,1.6675,step=7; distance_from_query=1
learned_router,first_token_recall_D16,accuracy,0.242,T_b,0.0,D=16_all_steps,0.0,1.5808,cluster=non_transport
learned_router,first_token_recall_D16,accuracy,0.242,T_x,1.0,D=16_all_steps,0.0,1.5808,cluster=non_transport
learned_router,first_token_recall_D16,accuracy,0.242,T_y,0.0,D=16_all_steps,0.0,1.5808,cluster=non_transport
learned_router,first_token_recall_D16,accuracy,0.242,T_c,0.0,D=16_all_steps,0.0,1.5808,cluster=transport
learned_router,first_token_recall_D16,accuracy,0.242,T_z',0.0,D=16_all_steps,0.0,1.5808,cluster=transport
learned_router,first_token_recall_D16,accuracy,0.242,T_r*,0.0,D=16_all_steps,0.0,1.5808,cluster=transport
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=0_dist=16,0.0,1.5808,step=0; distance_from_query=16
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=1_dist=15,0.0,1.5808,step=1; distance_from_query=15
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=2_dist=14,0.0,1.5808,step=2; distance_from_query=14
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=3_dist=13,0.0,1.5808,step=3; distance_from_query=13
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=4_dist=12,0.0,1.5808,step=4; distance_from_query=12
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=5_dist=11,0.0,1.5808,step=5; distance_from_query=11
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=6_dist=10,0.0,1.5808,step=6; distance_from_query=10
learned_router,first_token_recall_D16,transport_frac_at_step,0.0,aggregate_transport,0.0,step=7_dist=9,0.0,1.5808,step=7; distance_from_query=9
