case,variant,timestep,full_radius_mean,full_radius_std,subspace,subspace_radius_mean,subspace_radius_std,ratio_mean,ratio_std,direction_metric_mean,direction_metric_std,match_condition,success_condition,notes
A_stripped_baseline,original_s42,11,2.44948983,0.0,block3_ang,1.7320503,4.8e-07,0.70710665,1.2e-07,1.0,0.0,na,all,subspace=block3_ang;t=11;n_samples=2048;full_cos_mean=0.341092;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,12,2.44948983,0.0,full,2.44948983,0.0,1.0,0.0,1.0,0.0,na,all,subspace=full;t=12;n_samples=2048;full_cos_mean=0.331132;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,12,2.44948983,0.0,h3,1.0,0.0,0.40824836,9e-08,1.0,0.0,na,all,subspace=h3;t=12;n_samples=2048;full_cos_mean=0.331132;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,12,2.44948983,0.0,h2,1.0,2e-08,0.40824836,9e-08,1.0,0.0,na,all,subspace=h2;t=12;n_samples=2048;full_cos_mean=0.331132;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,12,2.44948983,0.0,block3_ang,1.73205018,6e-07,0.70710665,1.2e-07,1.0,0.0,na,all,subspace=block3_ang;t=12;n_samples=2048;full_cos_mean=0.331132;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,13,2.44948983,0.0,full,2.44948983,0.0,1.0,0.0,1.0,0.0,na,all,subspace=full;t=13;n_samples=2048;full_cos_mean=0.332182;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,13,2.44948983,0.0,h3,1.0,0.0,0.40824836,9e-08,1.0,0.0,na,all,subspace=h3;t=13;n_samples=2048;full_cos_mean=0.332182;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,13,2.44948983,0.0,h2,1.0,2e-08,0.40824836,9e-08,1.0,0.0,na,all,subspace=h2;t=13;n_samples=2048;full_cos_mean=0.332182;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,13,2.44948983,0.0,block3_ang,1.73205018,6e-07,0.70710665,1.2e-07,1.0,0.0,na,all,subspace=block3_ang;t=13;n_samples=2048;full_cos_mean=0.332182;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,14,2.44948983,0.0,full,2.44948983,0.0,1.0,0.0,1.0,0.0,na,all,subspace=full;t=14;n_samples=2048;full_cos_mean=0.340881;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,14,2.44948983,0.0,h3,1.0,0.0,0.40824836,9e-08,1.0,0.0,na,all,subspace=h3;t=14;n_samples=2048;full_cos_mean=0.340881;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,14,2.44948983,0.0,h2,1.0,2e-08,0.40824836,9e-08,1.0,0.0,na,all,subspace=h2;t=14;n_samples=2048;full_cos_mean=0.340881;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,14,2.44948983,0.0,block3_ang,1.73205042,3.6e-07,0.70710665,1.2e-07,1.0,0.0,na,all,subspace=block3_ang;t=14;n_samples=2048;full_cos_mean=0.340881;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,15,2.44948983,0.0,full,2.44948983,0.0,1.0,0.0,1.0,0.0,na,all,subspace=full;t=15;n_samples=2048;full_cos_mean=0.334776;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,15,2.44948983,0.0,h3,1.0,0.0,0.40824836,9e-08,1.0,0.0,na,all,subspace=h3;t=15;n_samples=2048;full_cos_mean=0.334776;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,15,2.44948983,0.0,h2,1.0,2e-08,0.40824836,9e-08,1.0,0.0,na,all,subspace=h2;t=15;n_samples=2048;full_cos_mean=0.334776;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,15,2.44948983,0.0,block3_ang,1.7320503,4.8e-07,0.70710665,1.2e-07,1.0,0.0,na,all,subspace=block3_ang;t=15;n_samples=2048;full_cos_mean=0.334776;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,16,2.44948983,0.0,full,2.44948983,0.0,1.0,0.0,1.0,0.0,na,all,subspace=full;t=16;n_samples=2048;full_cos_mean=0.332946;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,16,2.44948983,0.0,h3,1.0,0.0,0.40824836,9e-08,1.0,0.0,na,all,subspace=h3;t=16;n_samples=2048;full_cos_mean=0.332946;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,16,2.44948983,0.0,h2,1.0,2e-08,0.40824836,9e-08,1.0,0.0,na,all,subspace=h2;t=16;n_samples=2048;full_cos_mean=0.332946;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,16,2.44948983,0.0,block3_ang,1.7320503,4.8e-07,0.70710665,1.2e-07,1.0,0.0,na,all,subspace=block3_ang;t=16;n_samples=2048;full_cos_mean=0.332946;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,17,2.44948983,0.0,full,2.44948983,0.0,1.0,0.0,1.0,0.0,na,all,subspace=full;t=17;n_samples=2048;full_cos_mean=0.337632;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,17,2.44948983,0.0,h3,1.0,0.0,0.40824836,9e-08,1.0,0.0,na,all,subspace=h3;t=17;n_samples=2048;full_cos_mean=0.337632;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,17,2.44948983,0.0,h2,1.0,2e-08,0.40824836,9e-08,1.0,0.0,na,all,subspace=h2;t=17;n_samples=2048;full_cos_mean=0.337632;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,17,2.44948983,0.0,block3_ang,1.7320503,4.8e-07,0.70710665,1.2e-07,1.0,0.0,na,all,subspace=block3_ang;t=17;n_samples=2048;full_cos_mean=0.337632;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,18,2.44948983,0.0,full,2.44948983,0.0,1.0,0.0,1.0,0.0,na,all,subspace=full;t=18;n_samples=2048;full_cos_mean=0.332664;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,18,2.44948983,0.0,h3,1.0,0.0,0.40824836,9e-08,1.0,0.0,na,all,subspace=h3;t=18;n_samples=2048;full_cos_mean=0.332664;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,18,2.44948983,0.0,h2,1.0,2e-08,0.40824836,9e-08,1.0,0.0,na,all,subspace=h2;t=18;n_samples=2048;full_cos_mean=0.332664;h3_cos_mean=1.000000
A_stripped_baseline,original_s42,18,2.44948983,0.0,block3_ang,1.73205042,3.6e-07,0.70710665,1.2e-07,1.0,0.0,na,all,subspace=block3_ang;t=18;n_samples=2048;full_cos_mean=0.332664;h3_cos_mean=1.000000
