operator,cluster,subfield,observed_period,count,fraction,drives_full_tau_period,synchronization_role,note
T_b,non-transport,lift,60,1,0.001000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,40,1,0.001000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,57,1,0.001000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,42,1,0.001000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,54,1,0.001000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,26,1,0.001000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,53,1,0.001000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,37,1,0.001000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,43,1,0.001000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,31,1,0.001000,0.7080,bottleneck_fraction=0.7080,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=97; dominant_sync_type=tau_unresolved
T_b,non-transport,lift,unresolved,97,0.097000,N/A,sub-field did not return within cap,cap=1000; sub-field period > cap
T_x,non-transport,swap,2,599,0.599000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=0; dominant_sync_type=tau_unresolved
T_x,non-transport,swap,1,276,0.276000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=0; dominant_sync_type=tau_unresolved
T_x,non-transport,swap,3,68,0.068000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=0; dominant_sync_type=tau_unresolved
T_x,non-transport,swap,4,57,0.057000,0.3420,bottleneck_fraction=0.3420,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=0; dominant_sync_type=tau_unresolved
T_x,non-transport,coupled,1,1000,1.000000,0.1070,bottleneck_fraction=0.1070,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=0; dominant_sync_type=tau_unresolved
T_x,non-transport,twist,1,1000,1.000000,0.1070,bottleneck_fraction=0.1070,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=0; dominant_sync_type=tau_unresolved
T_x,non-transport,lift,6,358,0.358000,0.6640,bottleneck_fraction=0.6640,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=310; dominant_sync_type=tau_unresolved
T_x,non-transport,lift,3,73,0.073000,0.6640,bottleneck_fraction=0.6640,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=310; dominant_sync_type=tau_unresolved
T_x,non-transport,lift,5,53,0.053000,0.6640,bottleneck_fraction=0.6640,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=310; dominant_sync_type=tau_unresolved
T_x,non-transport,lift,2,49,0.049000,0.6640,bottleneck_fraction=0.6640,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=310; dominant_sync_type=tau_unresolved
T_x,non-transport,lift,4,39,0.039000,0.6640,bottleneck_fraction=0.6640,cap=1000; sample=1000; rng_seed=42; subfield_unresolved_count=310; dominant_sync_type=tau_unresolved
