model,task,delay,metric_name,metric_value,operator,usage_fraction,transport_usage_fraction,route_entropy,note
non_transport,first_token_recall_D4,4,accuracy,0.251,T_r*,0.0,0.0,1.0986,cluster=transport
non_transport,first_token_recall_D4,4,mean_attn_weight,0.25,aggregate_attn,0.25,0.0,1.0986,step=0; dist_from_query=4
non_transport,first_token_recall_D4,4,mean_attn_weight,0.25,aggregate_attn,0.25,0.0,1.0986,step=1; dist_from_query=3
non_transport,first_token_recall_D4,4,mean_attn_weight,0.25,aggregate_attn,0.25,0.0,1.0986,step=2; dist_from_query=2
non_transport,first_token_recall_D4,4,mean_attn_weight,0.25,aggregate_attn,0.25,0.0,1.0986,step=3; dist_from_query=1
non_transport,first_token_recall_D8,8,accuracy,0.248,T_b,1.0,0.0,1.0986,cluster=non_transport
non_transport,first_token_recall_D8,8,accuracy,0.248,T_x,0.0,0.0,1.0986,cluster=non_transport
non_transport,first_token_recall_D8,8,accuracy,0.248,T_y,0.0,0.0,1.0986,cluster=non_transport
non_transport,first_token_recall_D8,8,accuracy,0.248,T_c,0.0,0.0,1.0986,cluster=transport
non_transport,first_token_recall_D8,8,accuracy,0.248,T_z',0.0,0.0,1.0986,cluster=transport
non_transport,first_token_recall_D8,8,accuracy,0.248,T_r*,0.0,0.0,1.0986,cluster=transport
non_transport,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.0,1.0986,step=0; dist_from_query=8
non_transport,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.0,1.0986,step=1; dist_from_query=7
non_transport,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.0,1.0986,step=2; dist_from_query=6
non_transport,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.0,1.0986,step=3; dist_from_query=5
non_transport,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.0,1.0986,step=4; dist_from_query=4
non_transport,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.0,1.0986,step=5; dist_from_query=3
non_transport,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.0,1.0986,step=6; dist_from_query=2
non_transport,first_token_recall_D8,8,mean_attn_weight,0.125,aggregate_attn,0.125,0.0,1.0986,step=7; dist_from_query=1
non_transport,first_token_recall_D16,16,accuracy,0.258,T_b,1.0,0.0,1.0986,cluster=non_transport
non_transport,first_token_recall_D16,16,accuracy,0.258,T_x,0.0,0.0,1.0986,cluster=non_transport
non_transport,first_token_recall_D16,16,accuracy,0.258,T_y,0.0,0.0,1.0986,cluster=non_transport
non_transport,first_token_recall_D16,16,accuracy,0.258,T_c,0.0,0.0,1.0986,cluster=transport
non_transport,first_token_recall_D16,16,accuracy,0.258,T_z',0.0,0.0,1.0986,cluster=transport
non_transport,first_token_recall_D16,16,accuracy,0.258,T_r*,0.0,0.0,1.0986,cluster=transport
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=0; dist_from_query=16
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=1; dist_from_query=15
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=2; dist_from_query=14
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=3; dist_from_query=13
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=4; dist_from_query=12
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=5; dist_from_query=11
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=6; dist_from_query=10
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=7; dist_from_query=9
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=8; dist_from_query=8
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=9; dist_from_query=7
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=10; dist_from_query=6
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=11; dist_from_query=5
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=12; dist_from_query=4
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=13; dist_from_query=3
non_transport,first_token_recall_D16,16,mean_attn_weight,0.0625,aggregate_attn,0.0625,0.0,1.0986,step=14; dist_from_query=2
