case,sub_case,class_dist,timestep,D,eps_high,cos_metric,sin_metric,sin_abs,tan_metric,tan_unstable,n_samples,notes
C,success,0,14,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=14
C,failure,0,14,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=14
C,success,0,15,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=15
C,failure,0,15,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=15
C,success,0,16,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=16
C,failure,0,16,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=16
C,success,0,17,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=17
C,failure,0,17,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=17
C,success,0,18,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=18
C,failure,0,18,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=18
C,success,0,19,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=19
C,failure,0,19,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=19
C,success,0,20,20,0.0,1.0,0.0,0.0,0.0,0.0,788,C;success;eps=0.0;D=20;t=20
C,failure,0,20,20,0.0,-4.371139183945161e-08,1.0,1.0,nan,1.0,236,C;failure;eps=0.0;D=20;t=20
SEP,matched_vs_avg_mismatch,-1,0,1,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=1;t=0
SEP,matched_vs_avg_mismatch,-1,1,1,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=1;t=1
SEP,matched_vs_avg_mismatch,-1,0,5,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=5;t=0
SEP,matched_vs_avg_mismatch,-1,1,5,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=5;t=1
SEP,matched_vs_avg_mismatch,-1,2,5,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=5;t=2
SEP,matched_vs_avg_mismatch,-1,3,5,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=5;t=3
SEP,matched_vs_avg_mismatch,-1,4,5,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=5;t=4
SEP,matched_vs_avg_mismatch,-1,5,5,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=5;t=5
SEP,matched_vs_avg_mismatch,-1,0,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=0
SEP,matched_vs_avg_mismatch,-1,1,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=1
SEP,matched_vs_avg_mismatch,-1,2,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=2
SEP,matched_vs_avg_mismatch,-1,3,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=3
SEP,matched_vs_avg_mismatch,-1,4,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=4
SEP,matched_vs_avg_mismatch,-1,5,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=5
SEP,matched_vs_avg_mismatch,-1,6,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=6
SEP,matched_vs_avg_mismatch,-1,7,20,1.0,1.3333333322984624,1.4073179658661654e-09,-0.6666666863899948,-4.221953897598496e-09,nan,1024,separation;eps=1.0;D=20;t=7
