case,timestep,training_step,full_radius,subspace_radius,ratio,direction_metric,success_flag,match_flag
D_traj_step250,7,250,1.360901,0.36542046,0.26605874,-0.05254582,0.222656,1
D_traj_step250,8,250,1.36628151,0.39739007,0.28860489,-0.00274387,0.259766,1
D_traj_step250,9,250,1.36754656,0.3788712,0.27552813,-0.04540277,0.222656,1
D_traj_step250,10,250,1.35886598,0.39683044,0.29062924,-0.03635501,0.220703,1
D_traj_step250,11,250,1.35864079,0.39232549,0.28708026,0.02478979,0.259766,1
D_traj_step250,12,250,1.35571277,0.38502598,0.28170037,-0.02606946,0.259766,1
D_traj_step250,13,250,1.35852957,0.38177612,0.27963784,-0.032903,0.251953,1
D_traj_step250,14,250,1.35929513,0.37372234,0.27350646,-0.05929685,0.210938,1
D_traj_step250,15,250,1.34753609,0.35753089,0.26305723,-0.00529773,0.236328,1
D_traj_step250,16,250,1.36681271,0.36721432,0.26713073,0.02929286,0.261719,1
D_traj_step250,17,250,1.37331057,0.38156858,0.27411503,-0.02206739,0.251953,1
D_traj_step250,18,250,1.35363793,0.37501705,0.27609825,-0.00977483,0.242188,1
D_traj_step250,19,250,1.36670697,0.37016577,0.26844126,0.02975951,0.275391,1
D_traj_step250,20,250,1.36848402,0.38409537,0.27635938,-0.06599639,0.212891,1
D_traj_step500,0,500,2.44948983,1.0,0.40824831,1.0,1.0,1
D_traj_step500,1,500,2.25356936,0.89041066,0.39191848,0.0503098,0.279297,1
D_traj_step500,2,500,2.29021382,0.91260815,0.39589718,-0.02204695,0.212891,1
D_traj_step500,3,500,2.25086331,0.88585252,0.3899613,0.0448975,0.263672,1
D_traj_step500,4,500,2.2520647,0.90233219,0.39851847,0.0386306,0.259766,1
D_traj_step500,5,500,2.26883483,0.90122151,0.39476809,0.00338658,0.242188,1
D_traj_step500,6,500,2.27781773,0.91523463,0.40034947,-0.00860962,0.240234,1
D_traj_step500,7,500,2.26050568,0.8934083,0.39153087,0.0226083,0.273438,1
D_traj_step500,8,500,2.27451515,0.90014893,0.39263314,-0.05102629,0.21875,1
D_traj_step500,9,500,2.27898026,0.90389085,0.39348918,-0.03020076,0.232422,1
D_traj_step500,10,500,2.27266502,0.89200604,0.38807783,0.02951219,0.261719,1
D_traj_step500,11,500,2.26343703,0.88920963,0.38890177,-0.00805047,0.248047,1
D_traj_step500,12,500,2.26389408,0.90098417,0.39530671,0.0481392,0.283203,1
D_traj_step500,13,500,2.28382206,0.90385395,0.3918601,0.00854959,0.234375,1
D_traj_step500,14,500,2.28091049,0.90637594,0.39399761,0.03633569,0.273438,1
D_traj_step500,15,500,2.28564787,0.91299391,0.39638984,0.03040634,0.275391,1
D_traj_step500,16,500,2.26474237,0.89667207,0.39286479,0.09450381,0.298828,1
D_traj_step500,17,500,2.27820396,0.90339339,0.39332369,-0.04615675,0.21875,1
D_traj_step500,18,500,2.29938412,0.91668826,0.39594188,0.00755559,0.240234,1
D_traj_step500,19,500,2.25335622,0.8933152,0.39328155,0.01801248,0.259766,1
D_traj_step500,20,500,2.26889753,0.89737636,0.39172342,0.03105602,0.277344,1
C_trained_matched,0,500,2.44948983,1.0,0.40824831,1.0,1.0,1
C_trained_matched,1,500,2.25356936,0.89041066,0.39191848,0.0503098,0.279297,1
C_trained_matched,2,500,2.29021382,0.91260815,0.39589718,-0.02204695,0.212891,1
C_trained_matched,3,500,2.25086331,0.88585252,0.3899613,0.0448975,0.263672,1
C_trained_matched,4,500,2.2520647,0.90233219,0.39851847,0.0386306,0.259766,1
C_trained_matched,5,500,2.26883483,0.90122151,0.39476809,0.00338658,0.242188,1
C_trained_matched,6,500,2.27781773,0.91523463,0.40034947,-0.00860962,0.240234,1
C_trained_matched,7,500,2.26050568,0.8934083,0.39153087,0.0226083,0.273438,1
C_trained_matched,8,500,2.27451515,0.90014893,0.39263314,-0.05102629,0.21875,1
C_trained_matched,9,500,2.27898026,0.90389085,0.39348918,-0.03020076,0.232422,1
C_trained_matched,10,500,2.27266502,0.89200604,0.38807783,0.02951219,0.261719,1
C_trained_matched,11,500,2.26343703,0.88920963,0.38890177,-0.00805047,0.248047,1
