tuplet_name,offsets,parent_W,child_W,visible_H_first,candidate,split_position_count,target_predictive_state_count,b_only_exact_purity_fraction,b_only_unresolved_position_fraction,candidate_exact_purity_fraction,candidate_unresolved_position_fraction,purity_gain_over_b_only,candidate_weighted_target_multiplicity,candidate_label_count,candidate_to_target_label_ratio
quad_alt_0618,"[0,2,6,18]",2310,30030,6,recent_suffix_3,124,18,0.8225806451612903,0.1774193548387097,1.0,0.0,0.17741935483870974,1.0,22.0,1.2222222222222223
quad_alt_0618,"[0,2,6,18]",2310,30030,6,recent_suffix_5,124,18,0.8225806451612903,0.1774193548387097,1.0,0.0,0.17741935483870974,1.0,26.0,1.4444444444444444
quad_alt_0618,"[0,2,6,18]",2310,30030,6,local_transition_3,124,18,0.8225806451612903,0.1774193548387097,1.0,0.0,0.17741935483870974,1.0,20.0,1.1111111111111112
quad_alt_0618,"[0,2,6,18]",2310,30030,6,next_return_gap,124,18,0.8225806451612903,0.1774193548387097,1.0,0.0,0.17741935483870974,1.0,19.0,1.0555555555555556
quad_alt_0618,"[0,2,6,18]",2310,30030,6,prev_next_gap_pair,124,18,0.8225806451612903,0.1774193548387097,1.0,0.0,0.17741935483870974,1.0,38.0,2.111111111111111
quad_alt_0826,"[0,2,8,26]",2310,30030,16,recent_suffix_3,270,62,0.4037037037037037,0.5962962962962963,0.42592592592592593,0.5740740740740741,0.022222222222222254,2.033333333333333,37.0,0.5967741935483871
quad_alt_0826,"[0,2,8,26]",2310,30030,16,recent_suffix_5,270,62,0.4037037037037037,0.5962962962962963,0.42592592592592593,0.5740740740740741,0.022222222222222254,2.011111111111111,41.0,0.6612903225806451
quad_alt_0826,"[0,2,8,26]",2310,30030,16,local_transition_3,270,62,0.4037037037037037,0.5962962962962963,0.4481481481481482,0.5518518518518518,0.04444444444444451,1.9481481481481482,37.0,0.5967741935483871
quad_alt_0826,"[0,2,8,26]",2310,30030,16,next_return_gap,270,62,0.4037037037037037,0.5962962962962963,0.6111111111111112,0.3888888888888889,0.20740740740740748,1.3888888888888888,50.0,0.8064516129032258
quad_alt_0826,"[0,2,8,26]",2310,30030,16,prev_next_gap_pair,270,62,0.4037037037037037,0.5962962962962963,0.625925925925926,0.37407407407407406,0.22222222222222232,1.374074074074074,93.0,1.5
quad_alt_1836,"[0,2,18,36]",2310,30030,16,recent_suffix_3,271,63,0.4022140221402214,0.5977859778597786,0.41328413284132837,0.5867158671586716,0.011070110701106972,2.066420664206642,37.0,0.5873015873015873
