tuplet_name,offsets,parent_W,child_W,visible_H_first,candidate,membership_purity_fraction,membership_gain_over_b_only,membership_capture_fraction_of_spin,split_partition_purity_fraction,split_partition_gain_over_b_only,split_partition_capture_fraction_of_spin,candidate_split_label_ratio_to_spin
quad_alt_1836,"[0,2,18,36]",2310,30030,16,prev_next_gap_pair,1.0,0.18181818181818177,1.0,0.8671586715867159,0.21771217712177127,0.6210526315789474,1.7301587301587302
quad_alt_1836,"[0,2,18,36]",2310,30030,16,next_return_gap,1.0,0.18181818181818177,1.0,0.8339483394833949,0.18450184501845024,0.5263157894736843,0.8095238095238095
quad_alt_1836,"[0,2,18,36]",2310,30030,16,return_gap_seq_2,1.0,0.18181818181818177,1.0,1.0,0.3505535055350554,1.0,1.9841269841269842
quad_alt_1836,"[0,2,18,36]",2310,30030,16,return_gap_seq_3,1.0,0.18181818181818177,1.0,1.0,0.3505535055350554,1.0,3.3492063492063493
quad_alt_1836,"[0,2,18,36]",2310,30030,16,transition_memory_3,0.8389610389610389,0.020779220779220675,0.11428571428571374,0.6937269372693727,0.04428044280442811,0.12631578947368438,0.5873015873015873
quad_alt_1836,"[0,2,18,36]",2310,30030,16,branch_identity_min,1.0,0.18181818181818177,1.0,1.0,0.3505535055350554,1.0,1.9841269841269842
quad_alt_3854,"[0,2,38,54]",2310,30030,26,prev_next_gap_pair,1.0,0.16883116883116878,1.0,0.765625,0.203125,0.4642857142857143,1.162162162162162
quad_alt_3854,"[0,2,38,54]",2310,30030,26,next_return_gap,1.0,0.16883116883116878,1.0,0.75,0.1875,0.42857142857142855,0.5472972972972973
quad_alt_3854,"[0,2,38,54]",2310,30030,26,return_gap_seq_2,1.0,0.16883116883116878,1.0,0.953125,0.390625,0.8928571428571429,1.162162162162162
quad_alt_3854,"[0,2,38,54]",2310,30030,26,return_gap_seq_3,1.0,0.16883116883116878,1.0,0.953125,0.390625,0.8928571428571429,1.804054054054054
quad_alt_3854,"[0,2,38,54]",2310,30030,26,transition_memory_3,0.8441558441558441,0.01298701298701288,0.07692307692307632,0.59375,0.03125,0.07142857142857142,0.2905405405405405
quad_alt_3854,"[0,2,38,54]",2310,30030,26,branch_identity_min,1.0,0.16883116883116878,1.0,0.953125,0.390625,0.8928571428571429,1.162162162162162
quad_alt_0406,"[0,2,4,6]",30030,510510,36,prev_next_gap_pair,1.0,0.11988011988011993,1.0,0.7160045402951192,0.5230419977298524,0.6481012658227848,2.408071748878924
quad_alt_0406,"[0,2,4,6]",30030,510510,36,next_return_gap,1.0,0.11988011988011993,1.0,0.5380249716231555,0.3450624290578888,0.4275668073136428,0.5291479820627802
quad_alt_0406,"[0,2,4,6]",30030,510510,36,return_gap_seq_2,1.0,0.11988011988011993,1.0,0.9829738933030647,0.7900113507377979,0.9789029535864979,2.68609865470852
quad_alt_0406,"[0,2,4,6]",30030,510510,36,return_gap_seq_3,1.0,0.11988011988011993,1.0,0.9902383654937571,0.7972758229284904,0.9879043600562589,5.139013452914798
quad_alt_0406,"[0,2,4,6]",30030,510510,36,transition_memory_3,0.8801198801198801,0.0,0.0,0.23019296254256527,0.037230419977298534,0.046132208157524626,0.19730941704035873
quad_alt_0406,"[0,2,4,6]",30030,510510,36,branch_identity_min,1.0,0.11988011988011993,1.0,0.9829738933030647,0.7900113507377979,0.9789029535864979,2.68609865470852
double_twins_p17,"[0,2,34,36]",30030,510510,41,prev_next_gap_pair,1.0,0.14525474525474524,1.0,0.6514726507713885,0.4481065918653576,0.5625,1.5054347826086956
double_twins_p17,"[0,2,34,36]",30030,510510,41,next_return_gap,1.0,0.14525474525474524,1.0,0.5126227208976157,0.30925666199158486,0.3882042253521127,0.38858695652173914
double_twins_p17,"[0,2,34,36]",30030,510510,41,return_gap_seq_2,1.0,0.14525474525474524,1.0,0.8819541841982235,0.6785881252921926,0.8518192488262911,1.671195652173913
double_twins_p17,"[0,2,34,36]",30030,510510,41,return_gap_seq_3,1.0,0.14525474525474524,1.0,0.9039270687237027,0.7005610098176718,0.8794014084507042,3.198369565217391
double_twins_p17,"[0,2,34,36]",30030,510510,41,transition_memory_3,0.8547452547452548,0.0,0.0,0.22580645161290322,0.02244039270687237,0.028169014084507043,0.11956521739130435
double_twins_p17,"[0,2,34,36]",30030,510510,41,branch_identity_min,1.0,0.14525474525474524,1.0,0.8819541841982235,0.6785881252921926,0.8518192488262911,1.671195652173913
quad_alt_0618,"[0,2,6,18]",30030,510510,46,prev_next_gap_pair,1.0,0.06553446553446551,1.0,0.5407312379730597,0.3825101560829592,0.4544069088138176,1.0390334572490707
quad_alt_0618,"[0,2,6,18]",30030,510510,46,next_return_gap,1.0,0.06553446553446551,1.0,0.4526405815693821,0.2944194996792816,0.349758699517399,0.26765799256505574
quad_alt_0618,"[0,2,6,18]",30030,510510,46,return_gap_seq_2,1.0,0.06553446553446551,1.0,0.8396407953816549,0.6814197134915545,0.8094996189992381,1.245353159851301
quad_alt_0618,"[0,2,6,18]",30030,510510,46,return_gap_seq_3,1.0,0.06553446553446551,1.0,0.8659397049390635,0.7077186230489629,0.8407416814833628,2.7397769516728623
quad_alt_0618,"[0,2,6,18]",30030,510510,46,transition_memory_3,0.9344655344655345,0.0,0.0,0.174257002351935,0.016035920461834524,0.019050038100076216,0.08178438661710037
quad_alt_0618,"[0,2,6,18]",30030,510510,46,branch_identity_min,1.0,0.06553446553446551,1.0,0.8396407953816549,0.6814197134915545,0.8094996189992381,1.245353159851301
quadruplet,"[0,2,6,8]",30030,510510,51,prev_next_gap_pair,1.0,0.023176823176823125,1.0,0.5633053794231949,0.45080793618326853,0.5079511408158561,0.8562401263823065
quadruplet,"[0,2,6,8]",30030,510510,51,next_return_gap,1.0,0.023176823176823125,1.0,0.3935365105338515,0.28103906729392514,0.31666282553583774,0.24328593996840442
quadruplet,"[0,2,6,8]",30030,510510,51,return_gap_seq_2,1.0,0.023176823176823125,1.0,0.8384127633462876,0.7259153201063612,0.81793039870938,0.8988941548183255
quadruplet,"[0,2,6,8]",30030,510510,51,return_gap_seq_3,1.0,0.023176823176823125,1.0,0.8891388832071998,0.7766414399672734,0.8750864254436506,1.9352290679304898
quadruplet,"[0,2,6,8]",30030,510510,51,transition_memory_3,0.9768231768231769,0.0,0.0,0.13336060544078543,0.02086316220085907,0.02350772067296612,0.06951026856240126
quadruplet,"[0,2,6,8]",30030,510510,51,branch_identity_min,1.0,0.023176823176823125,1.0,0.8384127633462876,0.7259153201063612,0.81793039870938,0.8988941548183255
