case,D,timestep,match_flag,success_flag,full_radial,subspace_radial,radial_ratio,cos_metric,sin_metric,candidate_name,candidate_value,n_samples,notes
E_phase_evolution,32,14,1,1,3.162277,1.000000,0.316228,0.200000,0.000000,h3_h1_ratio,3.056561,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,15,1,1,3.162277,1.000000,0.316228,0.249057,0.033962,step_cos,0.535849,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,15,1,1,3.162277,1.000000,0.316228,0.249057,0.033962,h1_cos,-0.026144,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,15,1,1,3.162277,1.000000,0.316228,0.249057,0.033962,h3_h1_ratio,9.526280,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,16,1,1,3.162277,1.000000,0.316228,0.260377,0.007547,step_cos,0.513208,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,16,1,1,3.162277,1.000000,0.316228,0.260377,0.007547,h1_cos,-0.069035,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,16,1,1,3.162277,1.000000,0.316228,0.260377,0.007547,h3_h1_ratio,3.771680,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,17,1,1,3.162277,1.000000,0.316228,0.275472,-0.037736,step_cos,0.577359,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,17,1,1,3.162277,1.000000,0.316228,0.275472,-0.037736,h1_cos,0.037366,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,17,1,1,3.162277,1.000000,0.316228,0.275472,-0.037736,h3_h1_ratio,7.372302,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,18,1,1,3.162277,1.000000,0.316228,0.267925,-0.045283,step_cos,0.547170,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,18,1,1,3.162277,1.000000,0.316228,0.267925,-0.045283,h1_cos,0.026243,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,18,1,1,3.162277,1.000000,0.316228,0.267925,-0.045283,h3_h1_ratio,10.209236,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,19,1,1,3.162277,1.000000,0.316228,0.320755,0.007547,step_cos,0.471698,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,19,1,1,3.162277,1.000000,0.316228,0.320755,0.007547,h1_cos,0.010581,265,eps=0.0; D=32; success; phase_tracking
E_phase_evolution,32,19,1,1,3.162277,1.000000,0.316228,0.320755,0.007547,h3_h1_ratio,30.315478,265,eps=0.0; D=32; success; phase_tracking
