tuplet_name,offsets,parent_W,child_W,new_prime,visible_H_first,pre_threshold_H,parent_class_b,parent_class_spin,parent_class_frequency,parent_class_mass_fraction,child_future_classes_produced,extra_child_classes_produced,visible_after_additional_horizon_step
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000000000100001000000000000000000010000100000000,10,0.00011752952929423518,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000010000000000000000000000000000000000000000000,4,4.701181171769407e-05,3,2,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000010000000000000000000000000000000000000001000,8,9.402362343538814e-05,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000010000000000000000000000000000000000100000000,20,0.00023505905858847037,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000010000000000000000000000000000000000100001000,36,0.0004231063054592466,7,6,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000010000000000000000000000000000010000000000000,9,0.00010577657636481166,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000010000000000000000000000000000010000000001000,19,0.00022330610565904683,7,6,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000010000000001000000000000000000000000000000000,4,4.701181171769407e-05,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000010000000001000000000000000000000000000001000,36,0.0004231063054592466,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000010000000001000000000000000000000000100000000,12,0.0001410354351530822,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000010000000001000000000000000000000000100001000,60,0.0007051771757654111,11,10,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000010000000001000000000000000000010000000000000,5,5.876476464711759e-05,7,6,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,0,01000010000000001000000000000000000010000000001000,30,0.00035258858788270555,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000000000000000000000000000000000000000000000,19,0.00022330610565904683,2,1,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000000000000000000000000000000000000000010000,12,0.0001410354351530822,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000000000000000000000000000000000001000000000,17,0.0001998001998001998,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000000000000000000000000000000000001000010000,4,4.701181171769407e-05,3,2,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000000000000000000000000000000100000000000000,50,0.0005876476464711759,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000000000000000000000000000000100000000010000,23,0.00027031791737674093,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000000000000000000000000000000100001000000000,15,0.00017629429394135277,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000000000010000000000000000000000000000000000,47,0.0005523887876829053,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000000000010000000000000000000000000000010000,39,0.0004583651642475172,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000000000010000000000000000000000001000000000,37,0.00043485925838867017,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000000000010000000000000000000000001000010000,4,4.701181171769407e-05,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000000000010000000000000000000100000000000000,16,0.0001880472468707763,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000000000010000000000000000000100000000010000,18,0.0002115531527296233,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000000000010000000000000000000100001000000000,9,0.00010577657636481166,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000001000000000000000000000000000000000000000,46,0.0005406358347534819,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000001000000000000000000000000000000000010000,29,0.000340835634953282,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000001000000000000000000000000000001000000000,63,0.0007404360345536817,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000001000000000000000000000000000001000010000,6,7.05177175765411e-05,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000001000000000000000000000000100000000000000,52,0.0006111535523300229,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000001000000000000000000000000100000000010000,44,0.0005171299288946348,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000001000000000000000000000000100001000000000,26,0.00030557677616501144,11,10,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000001000010000000000000000000000000000000000,20,0.00023505905858847037,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000001000010000000000000000000000000000010000,13,0.00015278838808250572,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000001000010000000000000000000000001000000000,44,0.0005171299288946348,12,11,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000001000010000000000000000000000001000010000,8,9.402362343538814e-05,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000001000010000000000000000000100000000000000,9,0.00010577657636481166,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000000001000010000000000000000000100001000000000,2,2.3505905858847036e-05,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100000000000000000000000000000000000000000000,24,0.0002820708703061644,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100000000000000000000000000000000000000010000,20,0.00023505905858847037,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100000000000000000000000000000000001000000000,14,0.00016454134101192923,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100000000000000000000000000000000001000010000,8,9.402362343538814e-05,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100000000000000000000000000000100000000000000,82,0.0009637421402127284,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100000000000000000000000000000100000000010000,87,0.001022506904859846,12,11,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100000000000000000000000000000100001000000000,31,0.00036434154081212903,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100000000010000000000000000000000000000000000,30,0.00035258858788270555,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100000000010000000000000000000000000000010000,70,0.0008227067050596463,12,11,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100000000010000000000000000000000001000000000,32,0.0003760944937415526,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100000000010000000000000000000000001000010000,24,0.0002820708703061644,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100000000010000000000000000000100000000000000,25,0.00029382382323558796,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100000000010000000000000000000100000000010000,68,0.0007992007992007992,16,15,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100001000000000000000000000000000000000000000,24,0.0002820708703061644,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100001000000000000000000000000000000000010000,44,0.0005171299288946348,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100001000000000000000000000000000001000000000,31,0.00036434154081212903,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100001000000000000000000000000100000000000000,28,0.00032908268202385847,12,11,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100001000000000000000000000000100000000010000,84,0.0009872480460715754,16,15,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,00000100001000000000000000000000000100001000000000,32,0.0003760944937415526,15,14,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000000000000000000000000000000000000000000000,17,0.0001998001998001998,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000000000000000000000000000000000000000010000,16,0.0001880472468707763,3,2,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000000000000000000000000000000000001000000000,45,0.0005288828818240583,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000000000000000000000000000000000001000010000,20,0.00023505905858847037,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000000000000000000000000000000100000000000000,31,0.00036434154081212903,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000000000000000000000000000000100000000010000,11,0.0001292824822236587,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000000000000000000000000000000100001000000000,30,0.00035258858788270555,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000000000010000000000000000000000000000000000,34,0.0003996003996003996,8,7,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000000000010000000000000000000000000000010000,52,0.0006111535523300229,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000000000010000000000000000000000001000000000,45,0.0005288828818240583,14,13,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000000000010000000000000000000000001000010000,24,0.0002820708703061644,9,8,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000000000010000000000000000000100000000000000,11,0.0001292824822236587,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000000000010000000000000000000100000000010000,12,0.0001410354351530822,7,6,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000000000010000000000000000000100001000000000,14,0.00016454134101192923,16,15,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000001000000000000000000000000000000000000000,16,0.0001880472468707763,6,5,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000001000000000000000000000000000000000010000,5,5.876476464711759e-05,4,3,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000001000000000000000000000000000001000000000,99,0.0011635423400129282,12,11,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000001000000000000000000000000000001000010000,25,0.00029382382323558796,7,6,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000001000000000000000000000000100000000000000,30,0.00035258858788270555,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000001000000000000000000000000100001000000000,74,0.0008697185167773403,15,14,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000001000010000000000000000000000000000000000,25,0.00029382382323558796,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000001000010000000000000000000000000000010000,18,0.0002115531527296233,7,6,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000001000010000000000000000000000001000000000,56,0.0006581653640477169,16,15,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000001000010000000000000000000000001000010000,24,0.0002820708703061644,10,9,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000001000010000000000000000000100000000000000,14,0.00016454134101192923,14,13,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000000001000010000000000000000000100001000000000,10,0.00011752952929423518,19,18,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000100000000000000000000000000000000000000000000,4,4.701181171769407e-05,3,2,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000100000000000000000000000000000000000000010000,8,9.402362343538814e-05,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000100000000000000000000000000000000001000000000,20,0.00023505905858847037,5,4,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000100000000000000000000000000000000001000010000,36,0.0004231063054592466,7,6,1
double_twins_p13,"[0,2,26,28]",510510,9699690,19,51,50,1,10000100000000000000000000000000000100000000000000,9,0.00010577657636481166,5,4,1
