family,n,seed,max_mono_clique_present,max_mono_independent_present,first_absent_mono_clique_size,first_absent_mono_independent_size,delay_score,force_index,red_density,spectral_radius,spectral_gap,adjacency_energy,signature_name,signature_value,signature_phi_distance
balanced_binary_partitions,14,14,4,4,5,5,3.5,0.2857142857142857,0.6703296703296703,8.738061201377722,7.064363418775778,24.12255422101586,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,14,15,4,4,5,5,3.5,0.2857142857142857,0.32967032967032966,4.32803128949561,1.7763568394002505e-15,22.694791130407772,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,0,4,4,5,5,4.0,0.25,0.6666666666666666,10.0,7.999999999999999,28.0,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,1,4,4,5,5,4.0,0.25,0.3333333333333333,5.0,0.0,28.000000000000007,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,2,4,4,5,5,4.0,0.25,0.6666666666666666,10.0,7.999999999999999,28.0,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,3,4,4,5,5,4.0,0.25,0.3333333333333333,5.0,0.0,28.000000000000007,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,4,4,4,5,5,4.0,0.25,0.6666666666666666,10.0,7.999999999999999,28.0,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,5,4,4,5,5,4.0,0.25,0.3333333333333333,5.0,0.0,28.000000000000007,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,6,4,4,5,5,4.0,0.25,0.6666666666666666,10.0,7.999999999999999,28.0,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,7,4,4,5,5,4.0,0.25,0.3333333333333333,5.0,0.0,28.000000000000007,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,8,4,4,5,5,4.0,0.25,0.6666666666666666,10.0,7.999999999999999,28.0,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,9,4,4,5,5,4.0,0.25,0.3333333333333333,5.0,0.0,28.000000000000007,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,10,4,4,5,5,4.0,0.25,0.6666666666666666,10.0,7.999999999999999,28.0,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,11,4,4,5,5,4.0,0.25,0.3333333333333333,5.0,0.0,28.000000000000007,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,12,4,4,5,5,4.0,0.25,0.6666666666666666,10.0,7.999999999999999,28.0,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,13,4,4,5,5,4.0,0.25,0.3333333333333333,5.0,0.0,28.000000000000007,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,14,4,4,5,5,4.0,0.25,0.6666666666666666,10.0,7.999999999999999,28.0,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,16,15,4,4,5,5,4.0,0.25,0.3333333333333333,5.0,0.0,28.000000000000007,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,0,6,6,7,7,3.0,0.3333333333333333,0.673202614379085,11.470007931349505,9.063851156736298,33.85961847328109,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,1,6,6,7,7,3.0,0.3333333333333333,0.32679738562091504,5.586812149175038,0.0,31.02125937010728,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,2,6,6,7,7,3.0,0.3333333333333333,0.673202614379085,11.470007931349505,9.063851156736298,33.85961847328109,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,3,6,6,7,7,3.0,0.3333333333333333,0.32679738562091504,5.586812149175038,0.0,31.02125937010728,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,4,6,6,7,7,3.0,0.3333333333333333,0.673202614379085,11.470007931349505,9.063851156736298,33.85961847328109,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,5,6,6,7,7,3.0,0.3333333333333333,0.32679738562091504,5.586812149175038,0.0,31.02125937010728,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,6,6,6,7,7,3.0,0.3333333333333333,0.673202614379085,11.470007931349505,9.063851156736298,33.85961847328109,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,7,6,6,7,7,3.0,0.3333333333333333,0.32679738562091504,5.586812149175038,0.0,31.02125937010728,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,8,6,6,7,7,3.0,0.3333333333333333,0.673202614379085,11.470007931349505,9.063851156736298,33.85961847328109,binary_partition_ratio,1.0,0.6180339887498949
balanced_binary_partitions,18,9,6,6,7,7,3.0,0.3333333333333333,0.32679738562091504,5.586812149175038,0.0,31.02125937010728,binary_partition_ratio,1.0,0.6180339887498949
