modulus,a,b,exact,"num_full_states_(b,u,v)","num_quot_states_(b,psi)",compression_ratio
143,13.0,55.0,True,5005,5005.0,1.0
143,13.0,56.0,True,5005,5005.0,1.0
143,13.0,57.0,True,5005,5005.0,1.0
143,13.0,58.0,True,5005,5005.0,1.0
143,13.0,59.0,True,5005,5005.0,1.0
143,13.0,60.0,True,5005,5005.0,1.0
143,13.0,61.0,True,5005,5005.0,1.0
143,13.0,62.0,True,5005,5005.0,1.0
143,13.0,63.0,True,5005,5005.0,1.0
143,13.0,64.0,True,5005,5005.0,1.0
143,13.0,66.0,True,5005,5005.0,1.0
143,13.0,67.0,True,5005,5005.0,1.0
143,13.0,68.0,True,5005,5005.0,1.0
143,13.0,69.0,True,5005,5005.0,1.0
143,13.0,70.0,True,5005,5005.0,1.0
143,13.0,71.0,True,5005,5005.0,1.0
143,13.0,72.0,True,5005,5005.0,1.0
143,13.0,73.0,True,5005,5005.0,1.0
143,13.0,74.0,True,5005,5005.0,1.0
143,13.0,75.0,True,5005,5005.0,1.0
143,13.0,76.0,True,5005,5005.0,1.0
143,13.0,77.0,True,5005,5005.0,1.0
143,13.0,79.0,True,5005,5005.0,1.0
143,13.0,80.0,True,5005,5005.0,1.0
143,13.0,81.0,True,5005,5005.0,1.0
143,13.0,82.0,True,5005,5005.0,1.0
143,13.0,83.0,True,5005,5005.0,1.0
143,13.0,84.0,True,5005,5005.0,1.0
143,13.0,85.0,True,5005,5005.0,1.0
143,13.0,86.0,True,5005,5005.0,1.0
143,13.0,87.0,True,5005,5005.0,1.0
143,13.0,88.0,True,5005,5005.0,1.0
143,13.0,89.0,True,5005,5005.0,1.0
143,13.0,90.0,True,5005,5005.0,1.0
143,13.0,92.0,True,5005,5005.0,1.0
143,13.0,93.0,True,5005,5005.0,1.0
143,13.0,94.0,True,5005,5005.0,1.0
143,13.0,95.0,True,5005,5005.0,1.0
143,13.0,96.0,True,5005,5005.0,1.0
143,13.0,97.0,True,5005,5005.0,1.0
143,13.0,98.0,True,5005,5005.0,1.0
143,13.0,99.0,True,5005,5005.0,1.0
143,13.0,100.0,True,5005,5005.0,1.0
143,13.0,101.0,True,5005,5005.0,1.0
143,13.0,102.0,True,5005,5005.0,1.0
143,13.0,103.0,True,5005,5005.0,1.0
143,13.0,105.0,True,5005,5005.0,1.0
143,13.0,106.0,True,5005,5005.0,1.0
143,13.0,107.0,True,5005,5005.0,1.0
143,13.0,108.0,True,5005,5005.0,1.0
143,13.0,109.0,True,5005,5005.0,1.0
143,13.0,110.0,True,5005,5005.0,1.0
143,13.0,111.0,True,5005,5005.0,1.0
143,13.0,112.0,True,5005,5005.0,1.0
143,13.0,113.0,True,5005,5005.0,1.0
143,13.0,114.0,True,5005,5005.0,1.0
143,13.0,115.0,True,5005,5005.0,1.0
