coarse_residue_mod_30030,k,x17,x19,n,label,factorization,residue_mod_510510,residue_mod_9699690
1,197,10,11,5915911,prime,5915911,300301,5915911
1,198,11,11,5945941,prime,5945941,330331,5945941
1,199,12,11,5975971,semiprime_large,1627 * 3673,360361,5975971
1,200,13,11,6006001,semiprime_large,2027 * 2963,390391,6006001
1,201,14,11,6036031,semiprime_large,29 * 208139,420421,6036031
1,202,15,11,6066061,prime,6066061,450451,6066061
1,203,16,11,6096091,semiprime_large,631 * 9661,480481,6096091
1,204,0,12,6126121,semiprime_large,47 * 130343,1,6126121
1,205,1,12,6156151,semiprime_large,1531 * 4021,30031,6156151
1,206,2,12,6186181,other_composite,17 * 167 * 2179,60061,6186181
1,207,3,12,6216211,other_composite,19 * 53 * 6173,90091,6216211
1,208,4,12,6246241,other_composite,127 * 137 * 359,120121,6246241
1,209,5,12,6276271,prime,6276271,150151,6276271
1,210,6,12,6306301,semiprime_large,23 * 274187,180181,6306301
1,211,7,12,6336331,semiprime_large,97 * 65323,210211,6336331
1,212,8,12,6366361,prime,6366361,240241,6366361
1,213,9,12,6396391,semiprime_large,1997 * 3203,270271,6396391
1,214,10,12,6426421,prime,6426421,300301,6426421
1,215,11,12,6456451,semiprime_large,181 * 35671,330331,6456451
1,216,12,12,6486481,semiprime_large,109 * 59509,360361,6486481
1,217,13,12,6516511,prime,6516511,390391,6516511
1,218,14,12,6546541,prime,6546541,420421,6546541
1,219,15,12,6576571,prime,6576571,450451,6576571
1,220,16,12,6606601,semiprime_large,199 * 33199,480481,6606601
1,221,0,13,6636631,semiprime_large,677 * 9803,1,6636631
1,222,1,13,6666661,semiprime_large,113 * 58997,30031,6666661
1,223,2,13,6696691,other_composite,17 * 43 * 9161,60061,6696691
1,224,3,13,6726721,semiprime_large,31 * 216991,90091,6726721
1,225,4,13,6756751,semiprime_large,2543 * 2657,120121,6756751
1,226,5,13,6786781,semiprime_large,19 * 357199,150151,6786781
1,227,6,13,6816811,semiprime_large,61 * 111751,180181,6816811
1,228,7,13,6846841,prime,6846841,210211,6846841
1,229,8,13,6876871,semiprime_large,79 * 87049,240241,6876871
1,230,9,13,6906901,other_composite,,270271,6906901
1,231,10,13,6936931,semiprime_large,617 * 11243,300301,6936931
1,232,11,13,6966961,prime,6966961,330331,6966961
1,233,12,13,6996991,semiprime_large,23 * 304217,360361,6996991
1,234,13,13,7027021,prime,7027021,390391,7027021
1,235,14,13,7057051,prime,7057051,420421,7057051
1,236,15,13,7087081,prime,7087081,450451,7087081
1,237,16,13,7117111,other_composite,59 * 71 * 1699,480481,7117111
1,238,0,14,7147141,semiprime_large,1091 * 6551,1,7147141
1,239,1,14,7177171,semiprime_large,647 * 11093,30031,7177171
1,240,2,14,7207201,other_composite,17 * 353 * 1201,60061,7207201
1,241,3,14,7237231,semiprime_large,941 * 7691,90091,7237231
1,242,4,14,7267261,semiprime_large,1423 * 5107,120121,7267261
1,243,5,14,7297291,prime,7297291,150151,7297291
1,244,6,14,7327321,semiprime_large,67 * 109363,180181,7327321
1,245,7,14,7357351,other_composite,19 * 593 * 653,210211,7357351
1,246,8,14,7387381,semiprime_large,73 * 101197,240241,7387381
1,247,9,14,7417411,prime,7417411,270271,7417411
1,248,10,14,7447441,semiprime_large,2729 * 2729,300301,7447441
1,249,11,14,7477471,prime,7477471,330331,7477471
1,250,12,14,7507501,semiprime_large,739 * 10159,360361,7507501
1,251,13,14,7537531,semiprime_large,47 * 160373,390391,7537531
1,252,14,14,7567561,semiprime_large,149 * 50789,420421,7567561
1,253,15,14,7597591,semiprime_large,1307 * 5813,450451,7597591
1,254,16,14,7627621,semiprime_large,101 * 75521,480481,7627621
1,255,0,15,7657651,other_composite,31 * 337 * 733,1,7657651
1,256,1,15,7687681,semiprime_large,23 * 334247,30031,7687681
1,257,2,15,7717711,semiprime_large,17 * 453983,60061,7717711
1,258,3,15,7747741,semiprime_large,761 * 10181,90091,7747741
1,259,4,15,7777771,semiprime_large,29 * 268199,120121,7777771
1,260,5,15,7807801,other_composite,53 * 179 * 823,150151,7807801
1,261,6,15,7837831,prime,7837831,180181,7837831
1,262,7,15,7867861,semiprime_large,103 * 76387,210211,7867861
1,263,8,15,7897891,semiprime_large,2053 * 3847,240241,7897891
1,264,9,15,7927921,other_composite,19 * 19 * 21961,270271,7927921
1,265,10,15,7957951,prime,7957951,300301,7957951
1,266,11,15,7987981,semiprime_large,43 * 185767,330331,7987981
1,267,12,15,8018011,semiprime_large,37 * 216703,360361,8018011
1,268,13,15,8048041,semiprime_large,197 * 40853,390391,8048041
1,269,14,15,8078071,prime,8078071,420421,8078071
1,270,15,15,8108101,semiprime_large,859 * 9439,450451,8108101
1,271,16,15,8138131,semiprime_large,41 * 198491,480481,8138131
1,272,0,16,8168161,prime,8168161,1,8168161
1,273,1,16,8198191,prime,8198191,30031,8198191
1,274,2,16,8228221,other_composite,17 * 431 * 1123,60061,8228221
1,275,3,16,8258251,semiprime_large,83 * 99497,90091,8258251
1,276,4,16,8288281,semiprime_large,239 * 34679,120121,8288281
1,277,5,16,8318311,semiprime_large,1759 * 4729,150151,8318311
1,278,6,16,8348341,prime,8348341,180181,8348341
1,279,7,16,8378371,other_composite,23 * 89 * 4093,210211,8378371
1,280,8,16,8408401,prime,8408401,240241,8408401
1,281,9,16,8438431,semiprime_large,367 * 22993,270271,8438431
1,282,10,16,8468461,prime,8468461,300301,8468461
1,283,11,16,8498491,other_composite,19 * 433 * 1033,330331,8498491
1,284,12,16,8528521,semiprime_large,907 * 9403,360361,8528521
1,285,13,16,8558551,prime,8558551,390391,8558551
1,286,14,16,8588581,semiprime_large,31 * 277051,420421,8588581
1,287,15,16,8618611,semiprime_large,2423 * 3557,450451,8618611
1,288,16,16,8648641,other_composite,29 * 61 * 4889,480481,8648641
1,289,0,17,8678671,prime,8678671,1,8678671
1,290,1,17,8708701,prime,8708701,30031,8708701
1,291,2,17,8738731,other_composite,17 * 331 * 1553,60061,8738731
1,292,3,17,8768761,semiprime_large,599 * 14639,90091,8768761
1,293,4,17,8798791,semiprime_large,389 * 22619,120121,8798791
1,294,5,17,8828821,semiprime_large,277 * 31873,150151,8828821
1,295,6,17,8858851,semiprime_large,107 * 82793,180181,8858851
1,296,7,17,8888881,semiprime_large,59 * 150659,210211,8888881
1,297,8,17,8918911,prime,8918911,240241,8918911
1,298,9,17,8948941,semiprime_large,47 * 190403,270271,8948941
1,299,10,17,8978971,prime,8978971,300301,8978971
1,300,11,17,9009001,semiprime_large,131 * 68771,330331,9009001
1,301,12,17,9039031,semiprime_large,139 * 65029,360361,9039031
1,302,13,17,9069061,other_composite,19 * 23 * 20753,390391,9069061
1,303,14,17,9099091,semiprime_large,401 * 22691,420421,9099091
1,304,15,17,9129121,other_composite,37 * 251 * 983,450451,9129121
1,305,16,17,9159151,semiprime_large,449 * 20399,480481,9159151
1,306,0,18,9189181,prime,9189181,1,9189181
1,307,1,18,9219211,prime,9219211,30031,9219211
1,308,2,18,9249241,other_composite,,60061,9249241
1,309,3,18,9279271,semiprime_large,43 * 215797,90091,9279271
1,310,4,18,9309301,semiprime_large,151 * 61651,120121,9309301
1,311,5,18,9339331,semiprime_large,67 * 139393,150151,9339331
1,312,6,18,9369361,semiprime_large,41 * 228521,180181,9369361
1,313,7,18,9399391,semiprime_large,53 * 177347,210211,9399391
1,314,8,18,9429421,semiprime_large,2411 * 3911,240241,9429421
1,315,9,18,9459451,prime,9459451,270271,9459451
1,316,10,18,9489481,semiprime_large,2689 * 3529,300301,9489481
1,317,11,18,9519511,other_composite,29 * 31 * 10589,330331,9519511
1,318,12,18,9549541,semiprime_large,1093 * 8737,360361,9549541
1,319,13,18,9579571,other_composite,73 * 281 * 467,390391,9579571
1,320,14,18,9609601,prime,9609601,420421,9609601
1,321,15,18,9639631,semiprime_large,19 * 507349,450451,9639631
1,322,16,18,9669661,prime,9669661,480481,9669661
