n,label,factorization,x17,x19,theta_base,theta17,theta19
3933931,other_composite,19 * 31 * 6679,12,7,0.02857142857142857,0.7058823529411765,0.3684210526315789
3963961,semiprime_large,379 * 10459,13,7,0.02857142857142857,0.7647058823529411,0.3684210526315789
3993991,prime,3993991,14,7,0.02857142857142857,0.8235294117647058,0.3684210526315789
4024021,prime,4024021,15,7,0.02857142857142857,0.8823529411764706,0.3684210526315789
4054051,semiprime_large,1801 * 2251,16,7,0.02857142857142857,0.9411764705882353,0.3684210526315789
4084081,prime,4084081,0,8,0.02857142857142857,0.0,0.42105263157894735
4114111,other_composite,43 * 241 * 397,1,8,0.02857142857142857,0.058823529411764705,0.42105263157894735
4144141,other_composite,17 * 317 * 769,2,8,0.02857142857142857,0.11764705882352941,0.42105263157894735
4174171,prime,4174171,3,8,0.02857142857142857,0.17647058823529413,0.42105263157894735
4204201,semiprime_large,269 * 15629,4,8,0.02857142857142857,0.23529411764705882,0.42105263157894735
4234231,other_composite,23 * 227 * 811,5,8,0.02857142857142857,0.29411764705882354,0.42105263157894735
4264261,prime,4264261,6,8,0.02857142857142857,0.35294117647058826,0.42105263157894735
4294291,semiprime_large,29 * 148079,7,8,0.02857142857142857,0.4117647058823529,0.42105263157894735
4324321,prime,4324321,8,8,0.02857142857142857,0.47058823529411764,0.42105263157894735
4354351,semiprime_large,257 * 16943,9,8,0.02857142857142857,0.5294117647058824,0.42105263157894735
4384381,semiprime_large,193 * 22717,10,8,0.02857142857142857,0.5882352941176471,0.42105263157894735
4414411,prime,4414411,11,8,0.02857142857142857,0.6470588235294118,0.42105263157894735
4444441,semiprime_large,41 * 108401,12,8,0.02857142857142857,0.7058823529411765,0.42105263157894735
4474471,prime,4474471,13,8,0.02857142857142857,0.7647058823529411,0.42105263157894735
4504501,other_composite,19 * 79 * 3001,14,8,0.02857142857142857,0.8235294117647058,0.42105263157894735
4534531,semiprime_large,191 * 23741,15,8,0.02857142857142857,0.8823529411764706,0.42105263157894735
4564561,semiprime_large,641 * 7121,16,8,0.02857142857142857,0.9411764705882353,0.42105263157894735
4594591,semiprime_large,101 * 45491,0,9,0.02857142857142857,0.0,0.47368421052631576
4624621,semiprime_large,53 * 87257,1,9,0.02857142857142857,0.058823529411764705,0.47368421052631576
4654651,semiprime_large,17 * 273803,2,9,0.02857142857142857,0.11764705882352941,0.47368421052631576
4684681,semiprime_large,37 * 126613,3,9,0.02857142857142857,0.17647058823529413,0.47368421052631576
4714711,semiprime_large,47 * 100313,4,9,0.02857142857142857,0.23529411764705882,0.47368421052631576
4744741,prime,4744741,5,9,0.02857142857142857,0.29411764705882354,0.47368421052631576
4774771,other_composite,103 * 151 * 307,6,9,0.02857142857142857,0.35294117647058826,0.47368421052631576
4804801,semiprime_large,523 * 9187,7,9,0.02857142857142857,0.4117647058823529,0.47368421052631576
4834831,semiprime_large,173 * 27947,8,9,0.02857142857142857,0.47058823529411764,0.47368421052631576
4864861,other_composite,31 * 139 * 1129,9,9,0.02857142857142857,0.5294117647058824,0.47368421052631576
4894891,semiprime_large,727 * 6733,10,9,0.02857142857142857,0.5882352941176471,0.47368421052631576
4924921,other_composite,23 * 233 * 919,11,9,0.02857142857142857,0.6470588235294118,0.47368421052631576
4954951,prime,4954951,12,9,0.02857142857142857,0.7058823529411765,0.47368421052631576
4984981,other_composite,61 * 71 * 1151,13,9,0.02857142857142857,0.7647058823529411,0.47368421052631576
5015011,semiprime_large,419 * 11969,14,9,0.02857142857142857,0.8235294117647058,0.47368421052631576
5045041,semiprime_large,283 * 17827,15,9,0.02857142857142857,0.8823529411764706,0.47368421052631576
5075071,other_composite,19 * 131 * 2039,16,9,0.02857142857142857,0.9411764705882353,0.47368421052631576
5105101,prime,5105101,0,10,0.02857142857142857,0.0,0.5263157894736842
5135131,prime,5135131,1,10,0.02857142857142857,0.058823529411764705,0.5263157894736842
5165161,other_composite,17 * 29 * 10477,2,10,0.02857142857142857,0.11764705882352941,0.5263157894736842
5195191,semiprime_large,73 * 71167,3,10,0.02857142857142857,0.17647058823529413,0.5263157894736842
5225221,semiprime_large,571 * 9151,4,10,0.02857142857142857,0.23529411764705882,0.5263157894736842
5255251,prime,5255251,5,10,0.02857142857142857,0.29411764705882354,0.5263157894736842
5285281,prime,5285281,6,10,0.02857142857142857,0.35294117647058826,0.5263157894736842
5315311,semiprime_large,67 * 79333,7,10,0.02857142857142857,0.4117647058823529,0.5263157894736842
5345341,semiprime_large,59 * 90599,8,10,0.02857142857142857,0.47058823529411764,0.5263157894736842
5375371,prime,5375371,9,10,0.02857142857142857,0.5294117647058824,0.5263157894736842
5405401,semiprime_large,43 * 125707,10,10,0.02857142857142857,0.5882352941176471,0.5263157894736842
5435431,prime,5435431,11,10,0.02857142857142857,0.6470588235294118,0.5263157894736842
5465461,prime,5465461,12,10,0.02857142857142857,0.7058823529411765,0.5263157894736842
5495491,semiprime_large,1613 * 3407,13,10,0.02857142857142857,0.7647058823529411,0.5263157894736842
5525521,semiprime_large,607 * 9103,14,10,0.02857142857142857,0.8235294117647058,0.5263157894736842
5555551,semiprime_large,773 * 7187,15,10,0.02857142857142857,0.8823529411764706,0.5263157894736842
5585581,semiprime_large,271 * 20611,16,10,0.02857142857142857,0.9411764705882353,0.5263157894736842
5615611,semiprime_large,23 * 244157,0,11,0.02857142857142857,0.0,0.5789473684210527
5645641,other_composite,19 * 107 * 2777,1,11,0.02857142857142857,0.058823529411764705,0.5789473684210527
5675671,other_composite,17 * 17 * 41 * 479,2,11,0.02857142857142857,0.11764705882352941,0.5789473684210527
5705701,semiprime_large,89 * 64109,3,11,0.02857142857142857,0.17647058823529413,0.5789473684210527
5735731,prime,5735731,4,11,0.02857142857142857,0.23529411764705882,0.5789473684210527
5765761,semiprime_large,83 * 69467,5,11,0.02857142857142857,0.29411764705882354,0.5789473684210527
5795791,other_composite,31 * 31 * 37 * 163,6,11,0.02857142857142857,0.35294117647058826,0.5789473684210527
5825821,semiprime_large,691 * 8431,7,11,0.02857142857142857,0.4117647058823529,0.5789473684210527
5855851,prime,5855851,8,11,0.02857142857142857,0.47058823529411764,0.5789473684210527
5885881,prime,5885881,9,11,0.02857142857142857,0.5294117647058824,0.5789473684210527
5915911,prime,5915911,10,11,0.02857142857142857,0.5882352941176471,0.5789473684210527
5945941,prime,5945941,11,11,0.02857142857142857,0.6470588235294118,0.5789473684210527
5975971,semiprime_large,1627 * 3673,12,11,0.02857142857142857,0.7058823529411765,0.5789473684210527
6006001,semiprime_large,2027 * 2963,13,11,0.02857142857142857,0.7647058823529411,0.5789473684210527
6036031,semiprime_large,29 * 208139,14,11,0.02857142857142857,0.8235294117647058,0.5789473684210527
6066061,prime,6066061,15,11,0.02857142857142857,0.8823529411764706,0.5789473684210527
6096091,semiprime_large,631 * 9661,16,11,0.02857142857142857,0.9411764705882353,0.5789473684210527
6126121,semiprime_large,47 * 130343,0,12,0.02857142857142857,0.0,0.631578947368421
6156151,semiprime_large,1531 * 4021,1,12,0.02857142857142857,0.058823529411764705,0.631578947368421
6186181,other_composite,17 * 167 * 2179,2,12,0.02857142857142857,0.11764705882352941,0.631578947368421
6216211,other_composite,19 * 53 * 6173,3,12,0.02857142857142857,0.17647058823529413,0.631578947368421
