H,spin_class,class_frequency,mean_phase_index,mean_signature_value,eigvec2_value_z,corr_eigvec2_vs_mean_phase,corr_eigvec2_vs_mean_sig
13,8,141,2495.0,64.0,0.31052918378896777,-0.3692706917378611,0.21499072183839682
13,9,24,2492.5,66.0,0.05285603128322799,-0.3692706917378611,0.21499072183839682
13,10,141,2496.0,128.0,0.49255739683210437,-0.3692706917378611,0.21499072183839682
13,11,24,2493.5,132.0,0.08383955690759144,-0.3692706917378611,0.21499072183839682
13,12,165,2497.3636363636365,256.0,0.7461124965965948,-0.3692706917378611,0.21499072183839682
13,13,24,2494.5,264.0,0.11318519136176956,-0.3692706917378611,0.21499072183839682
13,14,165,2498.3636363636365,512.0,0.8166122953181877,-0.3692706917378611,0.21499072183839682
13,15,24,2495.5,528.0,0.13667218550277307,-0.3692706917378611,0.21499072183839682
13,16,165,2499.3636363636365,1024.0,0.8035775118513168,-0.3692706917378611,0.21499072183839682
13,17,24,2496.5,1056.0,0.14959358804163775,-0.3692706917378611,0.21499072183839682
13,18,165,2500.3636363636365,2048.0,0.6842616588393454,-0.3692706917378611,0.21499072183839682
13,19,24,2497.5,2112.0,0.14721440910757141,-0.3692706917378611,0.21499072183839682
13,20,165,2501.3636363636365,4096.0,0.4428247358921215,-0.3692706917378611,0.21499072183839682
13,21,24,2498.5,4224.0,0.1253672340314081,-0.3692706917378611,0.21499072183839682
21,0,1742,2511.1119402985073,0.0,0.7358033820280118,-0.006632249145950343,-0.13401781522487935
21,1,93,2527.7741935483873,1.0,-0.0002684115677114678,-0.006632249145950343,-0.13401781522487935
21,2,115,2521.7391304347825,2.0,0.13255113091385196,-0.006632249145950343,-0.13401781522487935
21,3,115,2522.7391304347825,4.0,0.25030260329691156,-0.006632249145950343,-0.13401781522487935
21,4,115,2523.7391304347825,8.0,-0.5702276418404794,-0.006632249145950343,-0.13401781522487935
21,5,115,2481.217391304348,16.0,0.6932400151622728,-0.006632249145950343,-0.13401781522487935
21,6,95,2475.684210526316,32.0,-0.4552357779548242,-0.006632249145950343,-0.13401781522487935
21,7,20,2513.25,33.0,-0.095839111148384,-0.006632249145950343,-0.13401781522487935
21,8,141,2487.0,64.0,0.5128741532719288,-0.006632249145950343,-0.13401781522487935
21,9,24,2484.5,66.0,0.06244594780807415,-0.006632249145950343,-0.13401781522487935
21,10,141,2488.0,128.0,0.6260404511111402,-0.006632249145950343,-0.13401781522487935
21,11,24,2485.5,132.0,0.08585364477291915,-0.006632249145950343,-0.13401781522487935
21,12,141,2489.0,256.0,-1.6251462004115271,-0.006632249145950343,-0.13401781522487935
21,13,24,2486.5,264.0,-0.21421529907472764,-0.006632249145950343,-0.13401781522487935
21,14,141,2490.0,512.0,2.071518837789305,-0.006632249145950343,-0.13401781522487935
21,15,24,2487.5,528.0,0.26939635129858136,-0.006632249145950343,-0.13401781522487935
21,16,141,2491.0,1024.0,-1.733136069311023,-0.006632249145950343,-0.13401781522487935
21,17,24,2488.5,1056.0,-0.22224356883152768,-0.006632249145950343,-0.13401781522487935
21,18,141,2492.0,2048.0,0.6691639165401597,-0.006632249145950343,-0.13401781522487935
21,19,24,2489.5,2112.0,0.08168226863455623,-0.006632249145950343,-0.13401781522487935
21,20,141,2493.0,4096.0,0.7654582571720162,-0.006632249145950343,-0.13401781522487935
21,21,24,2490.5,4224.0,0.10515905696804871,-0.006632249145950343,-0.13401781522487935
21,22,141,2494.0,8192.0,-2.033216160436417,-0.006632249145950343,-0.13401781522487935
21,23,24,2491.5,8448.0,-0.26808279821007625,-0.006632249145950343,-0.13401781522487935
21,24,141,2495.0,16384.0,2.611175090120836,-0.006632249145950343,-0.13401781522487935
21,25,24,2492.5,16896.0,0.33964506995266514,-0.006632249145950343,-0.13401781522487935
21,26,95,2506.315789473684,32768.0,-1.4832287828061705,-0.006632249145950343,-0.13401781522487935
21,27,46,2474.695652173913,32769.0,-0.7181949895693029,-0.006632249145950343,-0.13401781522487935
21,28,24,2493.5,33792.0,-0.2823817412219805,-0.006632249145950343,-0.13401781522487935
21,29,115,2500.782608695652,65536.0,0.7034766176172514,-0.006632249145950343,-0.13401781522487935
21,30,50,2489.5,65538.0,0.307669536723912,-0.006632249145950343,-0.13401781522487935
