qdim,W,component,rank,kb,kf,loading_abs,loading_real,loading_imag
2,30030,z2,4,-3,-1,0.16527868268767967,0.16040618283523905,0.03983590665721773
2,30030,z2,5,1,1,0.14805141429766214,-0.04578470922497357,-0.14079411094475017
2,30030,z2,6,1,-4,0.13819378747551506,0.13604009850607168,0.024302561496396598
2,30030,z2,7,3,-4,0.13627086228590352,-0.001737228883795636,0.13625978843352496
2,30030,z2,8,-3,-3,0.12873106168215137,-0.06530652833062742,0.11093576339131947
2,510510,z1,1,3,3,0.5785256688477984,0.5478331365597673,-0.1859322564884316
2,510510,z1,2,1,3,0.24299751452340373,0.11848078249481228,-0.2121558300965797
2,510510,z1,3,-3,0,0.23004774532596356,-0.197692571379936,-0.11764188178853771
2,510510,z1,4,2,4,0.23000581375778753,0.011006282655938863,0.2297423254528421
2,510510,z1,5,2,-4,0.19459164938859672,0.053386691502371325,-0.1871250148489111
2,510510,z1,6,-3,-2,0.16932785783128076,-0.11897432293451389,-0.12048665453071736
2,510510,z1,7,-4,4,0.1555638223672592,0.018033275675774355,-0.15451506010067012
2,510510,z1,8,-2,1,0.15551355184116458,-0.06919624842130392,-0.1392707579166272
2,510510,z2,1,-3,-2,0.47584917380962055,-0.3014795005167082,-0.3681610340374095
2,510510,z2,2,-2,3,0.354715011341685,0.09047932045768488,-0.34298138701779035
2,510510,z2,3,1,3,0.28920588932154656,-0.04053537508525494,0.28635106038735797
2,510510,z2,4,-3,2,0.24237326027943143,0.19157456747806473,-0.14847216033342223
2,510510,z2,5,3,-4,0.17846231401821155,0.15879285402182558,0.08144708120207828
2,510510,z2,6,2,-4,0.1647773543613107,-0.0273733221882387,-0.1624877772101392
2,510510,z2,7,-2,1,0.15653229432345867,-0.12143325921520814,0.09877409945192085
2,510510,z2,8,-1,1,0.1530226067294794,0.1268234883031661,-0.08562546925361408
3,2310,z1,1,-2,-3,0.4822412966915433,0.47505453508081646,-0.0829449030012725
3,2310,z1,2,-2,-2,0.36580361861125793,-0.36041841239422867,0.06253683231755791
3,2310,z1,3,1,3,0.2960482780579643,-0.21437560726245958,0.20417561546849183
3,2310,z1,4,3,-2,0.24516014972051162,-0.1836628610640981,-0.16239289540104107
3,2310,z1,5,-3,2,0.18791506369128896,0.18252202420881436,-0.04469655289637184
3,2310,z1,6,3,3,0.14915996786165533,0.048854373620770955,-0.14093241710341936
3,2310,z1,7,-2,2,0.1485707116361695,0.00905341728742972,0.14829461214588174
3,2310,z1,8,1,-3,0.13306432931213388,-0.09004042673213221,0.09797365609786918
3,2310,z2,1,2,3,0.3168231357835222,-0.31500477109085756,0.03389533238811203
3,2310,z2,2,2,1,0.25492539224696903,0.15891650096105014,-0.19933013152699106
3,2310,z2,3,4,-3,0.241597341967189,-0.14229600004181903,0.19524631627180444
3,2310,z2,4,-2,1,0.20612861369111568,0.18464967027392312,-0.0916160720067864
3,2310,z2,5,-2,2,0.17992626250907487,-0.08745447910098429,0.15724240530359493
3,2310,z2,6,-3,-4,0.17588314599386207,-0.0245980633242864,-0.17415457595306702
3,2310,z2,7,3,-4,0.17247900848215159,0.06109931558517438,0.16129439544512816
3,2310,z2,8,-1,-4,0.16633825332161295,-0.07860822389761188,0.1465918198732385
3,2310,z3,1,-2,1,0.23019935173694972,0.18108177903968145,-0.14213068226085418
3,2310,z3,2,2,-1,0.2265698036735145,-0.014287199862891054,0.22611888876591602
3,2310,z3,3,1,-3,0.2008679483485727,0.04245071091624178,0.19633102102436725
3,2310,z3,4,-1,2,0.1926458830852759,0.14179864734230324,-0.13040544421763572
3,2310,z3,5,-4,-1,0.18515529552525442,-0.0762675459659686,-0.16871794478766378
3,2310,z3,6,2,0,0.17733934556998326,-0.13393320518916071,0.11623742957820479
3,2310,z3,7,-1,-3,0.16499368383295115,-0.11569994179713275,0.11762839441609302
3,2310,z3,8,2,3,0.1578897248208569,-0.06725184783055752,-0.14285081087407744
3,30030,z1,1,0,-1,0.40890737755878404,0.4083853337960284,0.020655811828838883
3,30030,z1,2,-1,-2,0.3296701722653395,-0.12744788891540715,-0.30403857994087635
3,30030,z1,3,2,-2,0.29562624779831204,0.28428364406107587,-0.0811029475830842
3,30030,z1,4,0,4,0.18717530523448195,0.18642197393496313,-0.016776248800414895
3,30030,z1,5,-2,0,0.1808179361044238,0.0063854445451442705,0.18070515243076046
3,30030,z1,6,4,2,0.17485901469831583,0.17008953132299726,-0.04056138996125466
3,30030,z1,7,2,-3,0.15855763388605912,-0.130660881311584,0.08982347888178081
3,30030,z1,8,-1,-3,0.1492545676815739,-0.13764144106156323,-0.05772139704052343
3,30030,z2,1,-2,3,0.6379257350044377,0.6139524563966294,0.17323863502549558
3,30030,z2,2,-2,1,0.2085419734540726,-0.17599588339415215,-0.11187137131738006
3,30030,z2,3,-3,1,0.20684547639376932,0.17356213991190772,0.1125221520135691
3,30030,z2,4,-3,-1,0.16527868268767967,0.16040618283523905,0.03983590665721773
3,30030,z2,5,1,1,0.14805141429766214,-0.04578470922497357,-0.14079411094475017
3,30030,z2,6,1,-4,0.13819378747551506,0.13604009850607168,0.024302561496396598
3,30030,z2,7,3,-4,0.13627086228590352,-0.001737228883795636,0.13625978843352496
3,30030,z2,8,-3,-3,0.12873106168215137,-0.06530652833062742,0.11093576339131947
3,30030,z3,1,0,4,0.46228916691847394,0.3553694012079657,-0.2956752653423492
3,30030,z3,2,0,-3,0.2748866389064628,0.16137396121745445,-0.2225333882595589
3,30030,z3,3,-3,4,0.24837314417514658,-0.14286822775970454,0.2031696046268963
3,30030,z3,4,0,3,0.19623901124207008,-0.18980740190124817,0.04982870374355887
3,30030,z3,5,0,2,0.16192565775012144,-0.01385710986958977,0.16133164334336764
3,30030,z3,6,-1,2,0.15932905871384806,-0.10609217131822037,-0.11887051836189753
3,30030,z3,7,-4,-3,0.15908926975167562,0.14731502341799774,0.060063962785319044
3,30030,z3,8,0,-1,0.15128662841111076,0.012457689767856227,0.15077284205601932
3,510510,z1,1,3,3,0.5785256688477984,0.5478331365597673,-0.1859322564884316
3,510510,z1,2,1,3,0.24299751452340373,0.11848078249481228,-0.2121558300965797
3,510510,z1,3,-3,0,0.23004774532596356,-0.197692571379936,-0.11764188178853771
3,510510,z1,4,2,4,0.23000581375778753,0.011006282655938863,0.2297423254528421
3,510510,z1,5,2,-4,0.19459164938859672,0.053386691502371325,-0.1871250148489111
3,510510,z1,6,-3,-2,0.16932785783128076,-0.11897432293451389,-0.12048665453071736
3,510510,z1,7,-4,4,0.1555638223672592,0.018033275675774355,-0.15451506010067012
3,510510,z1,8,-2,1,0.15551355184116458,-0.06919624842130392,-0.1392707579166272
3,510510,z2,1,-3,-2,0.47584917380962055,-0.3014795005167082,-0.3681610340374095
3,510510,z2,2,-2,3,0.354715011341685,0.09047932045768488,-0.34298138701779035
3,510510,z2,3,1,3,0.28920588932154656,-0.04053537508525494,0.28635106038735797
3,510510,z2,4,-3,2,0.24237326027943143,0.19157456747806473,-0.14847216033342223
3,510510,z2,5,3,-4,0.17846231401821155,0.15879285402182558,0.08144708120207828
3,510510,z2,6,2,-4,0.1647773543613107,-0.0273733221882387,-0.1624877772101392
3,510510,z2,7,-2,1,0.15653229432345867,-0.12143325921520814,0.09877409945192085
3,510510,z2,8,-1,1,0.1530226067294794,0.1268234883031661,-0.08562546925361408
3,510510,z3,1,0,3,0.3901347130950705,0.2502103343338675,0.2993323954307438
3,510510,z3,2,1,4,0.24518674223919754,-0.07230265527995755,-0.23428372672752648
3,510510,z3,3,2,4,0.23329542882789933,0.10865552835498342,-0.20644789480615403
3,510510,z3,4,0,-3,0.21690462329942162,-0.1455798731157502,0.16079215202324418
3,510510,z3,5,-3,4,0.19639033528942149,0.08515327514725278,0.1769691598182792
3,510510,z3,6,-2,2,0.19461584546911734,-0.04523633696471348,0.1892855016256508
3,510510,z3,7,1,-1,0.1930273133268704,0.10410692223390028,-0.16254627782011635
3,510510,z3,8,4,3,0.18450988661565862,0.1254686459566164,-0.13528309998198756
