H,small_pattern_id,small_signature_uint64,num_occurrences_in_small_word,num_positions_that_split_upstairs,max_distinct_large_future_classes_for_this_pattern
57,474,4503737066455040,34,34,5
57,475,4503737070518272,47,47,4
57,476,4503737070518276,5,5,7
57,477,4503737070649344,8,8,7
57,478,4503741361291264,24,24,6
57,479,4644337115725824,86,86,4
57,480,4644337115729920,90,90,5
57,481,4644337115856896,40,40,5
57,482,4644341410693120,16,16,6
57,483,4644341410824192,8,8,7
57,484,9007199254740992,448,448,2
57,485,9007199254741000,192,192,4
57,486,9007199254749184,184,184,3
57,487,9007199255003136,336,336,3
57,488,9007199255003144,103,103,5
57,489,9007199255011328,90,90,5
57,490,9007199263129600,136,136,3
57,491,9007199263129608,16,16,6
57,492,9007199263391744,40,40,5
57,493,9007207844675584,151,151,4
57,494,9007207844675592,16,16,6
57,495,9007207844683776,21,21,5
57,496,9007207844937728,29,29,5
57,497,9007207844937736,5,5,7
57,498,9007474132647936,229,229,3
57,499,9007474132647944,103,103,5
57,500,9007474132910080,34,34,5
57,501,9007474141036544,47,47,4
57,502,9007474141036552,5,5,7
57,503,9007474141298688,8,8,7
57,504,9007482722582528,24,24,6
57,505,9288674231451648,86,86,4
57,506,9288674231459840,90,90,5
57,507,9288674231713792,40,40,5
57,508,9288682821386240,16,16,6
57,509,9288682821648384,8,8,7
57,510,18014398509481984,448,448,2
57,511,18014398509482000,192,192,4
57,512,18014398509498368,184,184,3
57,513,18014398510006272,336,336,3
57,514,18014398510006288,103,103,5
57,515,18014398510022656,90,90,5
57,516,18014398526259200,136,136,3
57,517,18014398526259216,16,16,6
57,518,18014398526783488,40,40,5
57,519,18014415689351168,151,151,4
57,520,18014415689351184,16,16,6
57,521,18014415689367552,21,21,5
57,522,18014415689875456,29,29,5
57,523,18014415689875472,5,5,7
57,524,18014948265295872,229,229,3
57,525,18014948265295888,103,103,5
57,526,18014948265820160,34,34,5
57,527,18014948282073088,47,47,4
57,528,18014948282073104,5,5,7
57,529,18014948282597376,8,8,7
57,530,18014965445165056,24,24,6
57,531,18577348462903296,86,86,4
57,532,18577348462919680,90,90,5
57,533,18577348463427584,40,40,5
57,534,18577365642772480,16,16,6
57,535,18577365643296768,8,8,7
57,536,36028797018963968,312,312,2
57,537,36028797018963969,136,136,3
57,538,36028797018964000,150,150,4
57,539,36028797018964001,42,42,6
57,540,36028797018996736,102,102,3
57,541,36028797018996737,82,82,4
57,542,36028797020012544,240,240,3
57,543,36028797020012545,96,96,5
57,544,36028797020012576,95,95,5
57,545,36028797020012577,8,8,8
57,546,36028797020045312,70,70,5
57,547,36028797020045313,20,20,7
57,548,36028797052518400,136,136,3
57,549,36028797052518432,16,16,6
57,550,36028797053566976,40,40,5
57,551,36028831378702336,55,55,4
57,552,36028831378702337,96,96,5
57,553,36028831378702368,2,2,6
57,554,36028831378702369,14,14,8
57,555,36028831378735104,11,11,5
57,556,36028831378735105,10,10,6
57,557,36028831379750912,17,17,5
57,558,36028831379750913,12,12,7
57,559,36028831379750944,1,1,7
57,560,36028831379750945,4,4,10
57,561,36029896530591744,147,147,3
57,562,36029896530591745,82,82,4
57,563,36029896530591776,75,75,5
57,564,36029896530591777,28,28,7
57,565,36029896531640320,24,24,5
57,566,36029896531640321,10,10,6
57,567,36029896564146176,47,47,4
57,568,36029896564146208,5,5,7
57,569,36029896565194752,8,8,7
57,570,36029930890330112,4,4,6
57,571,36029930890330113,20,20,7
57,572,37154696925806592,44,44,4
57,573,37154696925806593,42,42,6
57,574,37154696925839360,62,62,5
57,575,37154696925839361,28,28,7
57,576,37154696926855168,26,26,5
57,577,37154696926855169,14,14,8
57,578,37154731285544960,8,8,6
57,579,37154731285544961,8,8,8
57,580,37154731286593536,4,4,7
57,581,37154731286593537,4,4,10
57,582,72057594037927936,312,312,2
57,583,72057594037927938,136,136,3
57,584,72057594037928000,150,150,4
57,585,72057594037928002,42,42,6
57,586,72057594037993472,102,102,3
57,587,72057594037993474,82,82,4
57,588,72057594040025088,240,240,3
57,589,72057594040025090,96,96,5
57,590,72057594040025152,95,95,5
57,591,72057594040025154,8,8,8
57,592,72057594040090624,70,70,5
57,593,72057594040090626,20,20,7
57,594,72057594105036800,136,136,3
57,595,72057594105036864,16,16,6
57,596,72057594107133952,40,40,5
57,597,72057662757404672,55,55,4
57,598,72057662757404674,96,96,5
57,599,72057662757404736,2,2,6
57,600,72057662757404738,14,14,8
57,601,72057662757470208,11,11,5
57,602,72057662757470210,10,10,6
57,603,72057662759501824,17,17,5
57,604,72057662759501826,12,12,7
57,605,72057662759501888,1,1,7
57,606,72057662759501890,4,4,10
57,607,72059793061183488,147,147,3
57,608,72059793061183490,82,82,4
57,609,72059793061183552,75,75,5
57,610,72059793061183554,28,28,7
57,611,72059793063280640,24,24,5
57,612,72059793063280642,10,10,6
57,613,72059793128292352,47,47,4
57,614,72059793128292416,5,5,7
57,615,72059793130389504,8,8,7
57,616,72059861780660224,4,4,6
57,617,72059861780660226,20,20,7
57,618,74309393851613184,44,44,4
57,619,74309393851613186,42,42,6
57,620,74309393851678720,62,62,5
57,621,74309393851678722,28,28,7
57,622,74309393853710336,26,26,5
57,623,74309393853710338,14,14,8
57,624,74309462571089920,8,8,6
57,625,74309462571089922,8,8,8
57,626,74309462573187072,4,4,7
57,627,74309462573187074,4,4,10
