j,b_mod_35,f_mod_143,admissible_bit,z1_real,z1_imag,z2_real,z2_imag,radius_C2,local_transport_error
4306,1,123,1,-0.760517994397998,0.29238384483530383,-1.0778723101337644,-0.3040281011497944,1.384961275908347,0.21219699191085323
4307,2,123,0,-0.8751531253335098,0.40112292386787984,-1.0787356125106287,-0.08963306469828637,1.448619066842355,0.2915301965687824
4308,3,123,0,-1.057045722073698,0.4651389621645409,-0.9217096304274973,0.22537705233208635,1.4946716600037968,0.297573349037744
4309,4,123,0,-1.2142608162704436,0.43383893275558544,-0.6864088252048307,0.5163772281560611,1.5493379446013327,0.18195624740130198
4310,5,123,0,-1.2261240052445475,0.31001882985830836,-0.44604552826243865,0.6677645356895788,1.4981180993203715,0.2060992671605242
4311,6,123,0,-1.0154820009584273,0.15805830408285346,-0.23231995810948514,0.6196291021195649,1.2223333869650987,0.4266604143549983
4312,7,123,0,-0.6020481563303046,0.0775548676679182,-0.029831866450341204,0.38691785782273425,0.7204665911739085,0.5912062433236092
4313,8,123,0,-0.10648295861908162,0.15401205689543687,0.1981843501891259,0.044701488384500644,0.27628534863273524,0.6510684738966869
4314,9,123,0,0.29999211379552526,0.41101201896333245,0.46853642435775544,-0.3105473647755127,0.7582164564230904,0.6308677233840491
4315,10,123,0,0.47710417956846385,0.7889972800023326,0.746078096013353,-0.6031448464143795,1.3306244162497214,0.5534404846793151
4316,11,123,0,0.3874769780773342,1.1636294449146278,0.9418182879070963,-0.8033488277107098,1.7425736483812366,0.39948260617892123
4317,12,123,0,0.12133891173050414,1.3974300459261453,0.9463298092046114,-0.925146566601676,1.9284631555311593,0.2037961515307731
4318,13,123,0,-0.14132457200875456,1.4014944960023006,0.6844510643268812,-1.0011887067123948,1.8587661345324857,0.34875169429214437
4319,14,123,0,-0.21555113784355232,1.178011084390857,0.16435091899514087,-1.0511784487102118,1.6019237695910278,0.6444986020726959
4320,15,123,0,-0.003293683417588451,0.8224260639581021,-0.5056523282907684,-1.06279197370022,1.4358295635261018,0.801109555338009
4321,16,123,1,0.452576225581113,0.4827631885271635,-1.1451164519107802,-0.996674253722151,1.6560606246836198,0.7250716333238402
4322,17,123,0,0.9802419733828649,0.29396878893181866,-1.5656984404029772,-0.8132764051564492,2.039637735656037,0.44260731167578093
4323,18,123,0,1.3537729628457316,0.3173720710323401,-1.644736931772878,-0.5065620418404294,2.2125078402967686,0.23626079731879537
4324,19,123,0,1.3971708746227496,0.5134073737091577,-1.375310773224473,-0.12470078639272252,2.0304441862182014,0.49376127874722014
4325,20,123,0,1.069045720692649,0.7604142035468977,-0.8693651893627844,0.2364057884137191,1.5914685178031105,0.6767479315572853
4326,21,123,0,0.4874793444770497,0.9108496144254354,-0.31137058429530123,0.46722179022725496,1.1758107727939462,0.6398005019541593
4327,22,123,0,-0.11775853447569558,0.8588405880139612,0.1174795831863621,0.49194650340055396,1.003636907818611,0.47065133885398835
4328,23,123,0,-0.5044793412317983,0.5879451887319189,0.3110058049467526,0.3065289577828306,0.8893051013868564,0.44380937592034864
4329,24,123,0,-0.5235108384083867,0.17761096489932682,0.2741732992410222,-0.012487751060491816,0.617200287367705,0.5922614681355938
4330,25,123,0,-0.18219696592516618,-0.233596922174345,0.10868168185680185,-0.33512203215609937,0.46030613818340504,0.653786394306423
4331,26,123,0,0.3622907810357941,-0.5098174113131972,-0.04354584423363067,-0.5308372096218883,0.8214942401324475,0.5629961903960098
4332,27,123,0,0.8752048310992203,-0.575522698405339,-0.07143944544060529,-0.5239695478765445,1.1733957364103507,0.43957977721471647
4333,28,123,0,1.1472699345777229,-0.4427729471719465,0.05298282102191862,-0.32628232643179156,1.2733984142437458,0.4572237452725051
4334,29,123,0,1.0806375242744184,-0.19728508001736914,0.26473524204962684,-0.03109179083126271,1.1303761805291075,0.5327078420524309
4335,30,123,0,0.7196484805527266,0.047534153595137796,0.44118437211748684,0.22906185151690003,0.875937448303762,0.5374394762202703
4336,31,123,1,0.21579476089481128,0.2046614776874177,0.4640312125766806,0.3422680764030119,0.6487881793381015,0.5087298156307901
4337,32,123,0,-0.2522078053634007,0.2491339471572248,0.27752032421439315,0.26739179965495935,0.5236338468693003,0.5281925042875808
4338,33,123,0,-0.562092208780444,0.21933863550501814,-0.08455312648348802,0.05165615303048587,0.611452923405329,0.5462239748803459
4339,34,123,0,-0.6948596254606308,0.185933168458717,-0.5144519344134262,-0.1921405098405676,0.9049750331207459,0.5382632711944884
4340,0,124,0,-0.7782212570809497,0.12313401237573669,-0.876507007271212,-0.4250742454384393,1.252893833453975,0.3694703285994871
4341,1,124,0,-0.8067653880865499,0.2910634365321222,-1.135541467758629,-0.41834922826810733,1.4832595245917932,0.246747146609826
4342,2,124,0,-0.9098810280625809,0.4667831508880263,-1.182738700438666,-0.19508066577156596,1.5756577340445466,0.2882727338493505
4343,3,124,0,-1.0764916189028604,0.5667936720526325,-1.0484362611822777,0.16782156334884346,1.61476683862833,0.29739843066491334
4344,4,124,0,-1.2150046543116317,0.5362696088706806,-0.8121676664581126,0.5338731420300251,1.6457394245804127,0.1929128614741761
4345,5,124,0,-1.2055046731044075,0.38662584528470123,-0.5543397227179115,0.7640710834961881,1.5791827664765985,0.21006718267143537
4346,6,124,0,-0.9725988969182537,0.1996601939226502,-0.31609185217315267,0.7724104542857049,1.297052341358643,0.430398650643309
4347,7,124,0,-0.5390143384226644,0.09345884676711494,-0.08869125843954016,0.5556882681147391,0.784809915653599,0.6073323459926555
4348,8,124,0,-0.029214487214810247,0.16513260696513654,0.16311345899959603,0.18636225963793507,0.2990972358121964,0.6834669173817931
4349,9,124,0,0.3821763600437095,0.43835589767936867,0.45849110608665994,-0.22523032503067905,0.7740526189352623,0.6744997364474613
4350,10,124,0,0.5533668648440637,0.842824971463426,0.7646435521438892,-0.5793663881461256,1.3917305749240352,0.595019996260172
4351,11,124,0,0.44842348813303856,1.2381397163571548,0.99092343965217,-0.8228578046120834,1.8420363220613982,0.4239114932931531
4352,12,124,0,0.16201349394587575,1.4731490139272854,1.0207328870211936,-0.9571741853330771,2.0382576964579684,0.20042546225501232
4353,13,124,0,-0.11967489531012265,1.4539646064545022,0.7684335102198806,-1.0185450848961812,1.938107145383067,0.36588396497699877
4354,14,124,0,-0.20585996187276906,1.1885573961309983,0.23349891924158817,-1.0440074452274368,1.6123027937634005,0.6899209650001432
4355,15,124,0,0.004704502075038242,0.7860153709539991,-0.47725472038267835,-1.0436265299936898,1.3909603509625807,0.8615299960759328
4356,16,124,0,0.46835380326423465,0.409549177657657,-1.174947513471984,-0.9945317579268023,1.660325537625411,0.7826290347709619
4357,17,124,0,1.008630305149723,0.20420076903974377,-1.6546339457586259,-0.8596357716157792,2.129746510935295,0.4770849065538098
4358,18,124,0,1.3928061593246714,0.2324149284479443,-1.7748566733065125,-0.6197723035888121,2.3512038651496487,0.23366714152021456
4359,19,124,0,1.4385326992168401,0.4472186122476671,-1.5153864499391303,-0.29997372945460093,2.1577212852634235,0.5189127700035274
4360,20,124,0,1.100984543236473,0.7152589238071703,-0.9862110097221124,0.02698583886653195,1.6422858106090596,0.7287136532419468
4361,21,124,0,0.4990476365502624,0.8786938227107034,-0.3823592446174255,0.2649216199635294,1.1124448005563516,0.6967912808241299
4362,22,124,0,-0.13281491242389898,0.8269900088668075,0.09622047855951799,0.336485163404616,0.9077625908867055,0.498655437210329
4363,23,124,0,-0.5456819324769218,0.5455478144408603,0.3244286918126893,0.22275143764041416,0.8661774462055171,0.42024493753668635
4364,24,124,0,-0.584163398128619,0.11955534650413072,0.2963142120603918,-0.020830210993818914,0.6661654198094614,0.5695558775815773
4365,25,124,0,-0.2520990095381622,-0.30711841729356454,0.11524167667189737,-0.28262226361393644,0.5010305587321415,0.6471822615654123
4366,26,124,0,0.2931452776831921,-0.5972269221948009,-0.0637566196344234,-0.44114528458995783,0.8008047321821931,0.561141080359181
4367,27,124,0,0.8134562310850793,-0.6783712871812104,-0.11140949965126182,-0.4192032323245771,1.1445706923414352,0.43019185046046965
4368,28,124,0,1.0947073399851588,-0.5675824131706663,0.01490655291953193,-0.22038118176448485,1.2527266368022485,0.4497409538673702
4369,29,124,0,1.0347497048092602,-0.3529397585041787,0.2543102124151354,0.07027535086715261,1.1246713892573117,0.534918054451427
4370,30,124,0,0.6756922163905981,-0.1439743758520246,0.4756143778442445,0.32323832673653813,0.89887743573661,0.5401570831864677
