W,j,n,layer_depth,b_mod_35,b_angle,t_index,fiber_mod,fiber_index,fiber_angle,admissible_bit,phi_1_prime,phi_1_index,phi_1_angle,phi_2_prime,phi_2_index,phi_2_angle,phi_3_prime,phi_3_index,phi_3_angle,phi_4_prime,phi_4_index,phi_4_angle,z1_real,z1_imag,z2_real,z2_imag,z_radius
30030,17,107,2,17,3.0518328634872276,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,-1.2214216901762964,-0.08657924693423535,-0.14251057608136275,0.3272577130420617,1.2754504248591485
30030,18,113,2,18,3.2313524436923586,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,-1.147694622891711,-0.05087672176175199,-0.38351339806359847,0.300355447182609,1.247833045474563
30030,19,119,2,19,3.4108720238974897,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,-0.990688951877701,-0.06883202456420995,-0.6284177368861307,0.27775691392215823,1.2075844493213688
30030,20,125,2,20,3.5903916041026207,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,-0.7587131359113237,-0.07377842499333678,-0.824297932003056,0.24663736510726858,1.1495155280249427
30030,21,131,2,21,3.7699111843077517,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,-0.47421292143143795,0.004591722650486447,-0.9324521527213174,0.18699946423963323,1.062701649340005
30030,22,137,2,22,3.9494307645128823,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,-0.17035861499518354,0.21472763358258645,-0.9373480899602141,0.07887852996458472,0.9797822607949637
30030,23,143,2,23,4.128950344718014,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,0.11549979094160318,0.5630934213243528,-0.8487923197147061,-0.08963041731515098,1.0290269270340204
30030,24,149,2,24,4.308469924923145,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,0.34991697237117797,1.0058460629684502,-0.6970030746109325,-0.31602446175855436,1.311431636185974
30030,25,155,2,25,4.487989505128276,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,0.5108854095537256,1.455440237201421,-0.5222789026538711,-0.5808218563117925,1.7289995565894791
30030,26,161,2,26,4.667509085333407,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,0.592799044616105,1.8009928958552124,-0.3624505935651963,-0.849834545782957,2.109164599124639
30030,27,167,2,27,4.847028665538538,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,0.6074626824522784,1.93719307570109,-0.2418616589328793,-1.0809757173645422,2.3127329043168645
30030,28,173,2,28,5.026548245743669,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,0.5807897995346747,1.79390151347258,-0.16509412924571176,-1.2339664466652531,2.2594974428597636
30030,29,179,2,29,5.2060678259488,0,143,0,0.0,0,11,0,0.0,13,0,0.0,,,,,,,0.5459738266515209,1.3581252159603132,-0.11720299737422961,-1.2804063992621455,1.9482732384038717
